Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,O18 A,H2 A,O18 P,H2 P
18.37583333,-65.73277778,2.0092773,2005.0,0.3294084822245304,1.0,0.0,0.0,0.0,0.0,300.3988037109375,-5.75,-36.7,-2.0616936683654785,-6.261961936950684
-3.12,-60.02,49.394531,1989.0,-0.9999166586547379,1.0,0.0,0.0,0.0,0.0,301.4393920898437,-2.8,-5.1,-2.59482741355896,-10.21406078338623
-65.07944444,-63.9775,286.6875,1970.0,0.9760105506323683,0.0,0.0,0.0,0.0,1.0,265.0833435058594,-8.22,-58.1,-10.804012298583984,-85.80951690673828
36.83,10.23,0.0,1969.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,284.1600341796875,-4.94,-22.5,-5.605957984924316,-30.305461883544922
49.82,-74.97,386.4375,2002.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,288.4683532714844,-10.12,-70.5,-11.277982711791992,-78.66915130615234
-0.743055556,-90.30222222,1.7120972,2014.0,-0.888057322629493,1.0,0.0,0.0,0.0,0.0,290.7342224121094,0.410057079,5.869160397,-0.7255370616912842,2.3875842094421387
37.77,-25.65,137.14062,1994.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,295.2816772460937,-1.71,-5.1,-2.975693702697754,-12.391645431518555
-0.743055556,-90.30222222,1.7120972,2015.0,0.705583610107178,1.0,0.0,0.0,0.0,0.0,295.7099914550781,-1.712047478,-2.093139327,-1.9593517780303955,-7.620460033416748
41.05916667,-100.7463889,918.34375,1992.0,0.051619667223253764,0.0,0.0,0.0,1.0,0.0,272.2718200683594,-17.6,-134.0,-20.39076805114746,-151.93368530273438
-12.43,130.87,16.515625,2012.0,0.6994583270516471,1.0,0.0,0.0,0.0,0.0,300.6136779785156,-6.23,-39.5,-5.322717189788818,-33.79593276977539
51.6,-1.1,55.042969,1993.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,282.08306884765625,-6.4,-39.0,-6.773085117340088,-45.50815963745117
28.22,-177.37,0.0,1987.0,-0.680773409477016,1.0,0.0,0.0,0.0,0.0,298.4550170898437,-1.63,-4.0,-2.3195128440856934,-10.09909439086914
13.52,2.09,210.4375,1999.0,0.29671281927349075,0.0,1.0,0.0,0.0,0.0,306.6273498535156,-1.1,3.0,-1.334276795387268,-2.236518144607544
47.81666667,13.71777778,1616.0625,2002.0,0.39359027665646673,0.0,0.0,0.0,1.0,0.0,289.52716064453125,-11.98,-86.5,-7.823516368865967,-54.97833251953125
37.77,-25.65,137.14062,1962.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,286.8775329589844,-4.2,-14.3,-3.4825334548950195,-17.77254867553711
47.7,27.88333333,177.36719,2013.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,267.0307922363281,-9.8,-71.49,-12.107135772705078,-88.14432525634766
49.38,-82.12,243.30469,2009.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,270.0074462890625,-25.79,-187.9,-20.91098976135254,-156.707763671875
38.98916547,-3.920273851,626.8125,2010.0,0.29671281927349075,0.0,1.0,0.0,0.0,0.0,293.5819091796875,-7.55,-53.72,-3.559633731842041,-20.424938201904297
6.166666667,102.2833333,3.2288818,2015.0,-0.2135209154397959,1.0,0.0,0.0,0.0,0.0,301.3706970214844,-5.5,-32.3,-6.36148738861084,-40.86709213256836
36.15,-5.35,1.5737915,2017.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,286.72625732421875,-5.74,-31.5,-3.553999423980713,-19.516263961791992
47.98,-55.82,119.36328,2007.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,289.234130859375,-6.94,-47.9,-7.665029048919678,-49.784645080566406
-40.68,144.69,82.167969,1985.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,288.0068359375,-5.62,-28.3,-4.48492956161499,-23.324888229370117
69.4075,86.18055556,33.941406,1990.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,284.8841247558594,-14.8,-112.0,-13.608237266540527,-99.2915267944336
10.10808333,-84.12208333,2250.25,1990.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,298.35211181640625,-7.83,-54.1,-8.547320365905762,-60.30141830444336
-34.05,115.0249,77.78125,2009.0,0.23030567023061221,0.0,0.0,1.0,0.0,0.0,285.7614440917969,-4.3,-22.3,-4.113948822021484,-18.952863693237305
47.8008,11.0108,974.96875,1996.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,284.3169250488281,-9.19,-60.3,-10.337193489074707,-71.0329360961914
41.818399,46.266606,0.0,2014.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,294.9775695800781,-1.85,-7.4,-4.222440242767334,-25.0484676361084
51.6,-1.1,55.042969,2015.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,276.1851501464844,-9.78,-66.8,-8.137899398803711,-55.095821380615234
-75.58333333,-20.56666667,105.53516,1993.0,0.29671281927349075,0.0,0.0,0.0,0.0,1.0,245.30209350585932,-25.94,-205.8,-28.5271053314209,-218.26885986328125
-4.37,15.25,422.4375,1964.0,-0.6932812268869771,1.0,0.0,0.0,0.0,0.0,294.9771728515625,-1.8,-0.6,-4.4097466468811035,-25.171110153198242
50.7,5.47,141.75781,1968.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,273.8468322753906,-6.94,-49.1,-9.566971778869629,-68.7142105102539
-27.43,153.08,5.7802734,2003.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,291.14605712890625,-2.56,-0.7,-3.2917470932006836,-11.896597862243652
50.3119,11.8758,564.53125,1983.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,275.6026611328125,-4.59,-30.5,-7.952350616455078,-54.57499694824219
-31.48388889,145.8294444,259.60938,2010.0,-0.680773409477016,0.0,1.0,0.0,0.0,0.0,290.5429077148437,-1.74,0.4,-1.0399774312973022,0.04997742176055908
-19.54333333,-68.60416667,3823.75,1986.0,0.2386727660059501,0.0,1.0,0.0,0.0,0.0,280.004150390625,-12.5,-90.0,-8.906274795532227,-59.813514709472656
4.427,117.9086111,399.76562,2008.0,0.9562348265919056,1.0,0.0,0.0,0.0,0.0,301.84381103515625,-7.21,-47.75,-6.717663288116455,-43.944637298583984
22.31666667,114.1666667,34.056641,1982.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,291.0908508300781,-2.09,-1.3,-2.6197614669799805,-8.911652565002441
37.1644591,-5.611393166,86.394531,2010.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,300.6820678710937,-4.44,-28.45,-4.018007278442383,-24.554983139038086
40.37,-81.8,372.875,1968.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,268.1513671875,-12.62,-81.5,-13.536128044128418,-94.05494689941406
43.91281944,4.888775,30.959961,2005.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,291.8555908203125,-4.83,-29.51,-4.080260276794434,-24.681964874267578
47.42692898,9.400776879,758.46875,2006.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,272.567138671875,-14.13,-101.1064643,-13.357283592224121,-97.95394897460938
51.3,3.75,9.4589844,2006.0,-0.7526668275320083,0.0,0.0,1.0,0.0,0.0,292.2567749023437,-6.96,-44.28,-5.823910236358643,-38.690486907958984
41.64083945,-4.754446679,735.625,2008.0,0.6994583270516471,0.0,1.0,0.0,0.0,0.0,277.97320556640625,-9.91,-71.7,-8.845667839050293,-62.21651077270508
49.7703,9.9578,265.90625,1987.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,277.0906677246094,-7.05,-53.0,-10.854690551757812,-78.86896514892578
2.883333333,101.7833306,55.289062,2013.0,0.29671281927349075,1.0,0.0,0.0,0.0,0.0,302.61407470703125,-4.88,-32.0,-6.697973728179932,-43.64384841918945
58.65,49.61666667,162.28906,1981.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,291.1609191894531,-8.1,-60.0,-9.122359275817871,-65.84613800048828
51.93,-10.25,33.068359,1992.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,276.39422607421875,-4.91,-28.2,-7.084660530090332,-47.552860260009766
25.62,88.66,39.710938,2016.0,-0.23030567023061196,0.0,0.0,1.0,0.0,0.0,304.1376647949219,-7.14,-46.7,-6.496519565582275,-44.131351470947266
-0.37,35.35,2186.5,1969.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,292.3041381835937,-0.7,17.5,-3.471062660217285,-17.11818504333496
13.52,2.09,210.4375,2016.0,-0.23030567023061196,0.0,1.0,0.0,0.0,0.0,304.56988525390625,-3.54,-19.5,-3.1274356842041016,-16.470375061035156
44.42,8.85,5.4519043,1984.0,-0.27195815753410524,0.0,0.0,1.0,0.0,0.0,279.8822937011719,-7.1,-44.0,-6.018777847290039,-37.80191421508789
0.453055556,33.195,1174.25,2013.0,-0.9741004551724206,1.0,0.0,0.0,0.0,0.0,295.00299072265625,-1.32,-0.39,-1.5448589324951172,-2.324718952178955
78.91666667,11.93333333,38.650391,2011.0,-0.2884824328806098,0.0,0.0,0.0,0.0,1.0,266.9717712402344,-10.52,-73.3,-11.524867057800293,-82.96057891845703
-32.88,-68.85,762.84375,1983.0,0.6994583270516471,0.0,1.0,0.0,0.0,0.0,294.2010803222656,-7.0,-49.0,-6.2913432121276855,-40.43478012084961
