Lat,Lon,Alt,Year,JulianDay_Sin,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2006,-0.9587178169872964,-7.78,-53.80678357,-8.718833,-55.841713
47.54260867,7.58371693,304.73438,2006,-0.9741004551724206,-6.51,-49.6066388,-8.80543,-56.493477
47.54260867,7.58371693,304.73438,2006,-0.7236440382959123,-9.18,-67.40884533,-9.201304,-59.47297
47.54260867,7.58371693,304.73438,2006,-0.2884824328806098,-11.11,-83.72738599,-9.436355,-61.242043
47.54260867,7.58371693,304.73438,2007,0.2386727660059501,-12.87,-93.4449454,-9.852847,-64.37672
47.54260867,7.58371693,304.73438,2007,0.6994583270516471,-9.46,-71.36453487,-10.384803,-68.38041
47.54260867,7.58371693,304.73438,2007,0.9510565162951535,-12.11,-89.32212676,-10.50439,-69.280464
47.54260867,7.58371693,304.73438,2007,0.741222010848596,-7.87,-56.86635214,-10.42604,-68.69077
47.54260867,7.58371693,304.73438,2007,0.29671281927349075,-6.28,-44.71481808,-9.9270735,-64.93537
47.54260867,7.58371693,304.73438,2007,-0.2135209154397959,-6.05,-43.8169477,-9.489963,-61.645515
47.54260867,7.58371693,304.73438,2007,-0.680773409477016,-6.87,-44.13363048,-9.234294,-59.72126
47.54260867,7.58371693,304.73438,2007,-0.9587178169872964,-6.87,-44.13363048,-8.68172,-55.562386
47.54260867,7.58371693,304.73438,2007,-0.9741004551724206,-8.99,-60.35032291,-8.743575,-56.02793
47.54260867,7.58371693,304.73438,2007,-0.7236440382959123,-10.78,-79.00926983,-9.209552,-59.53504
47.54260867,7.58371693,304.73438,2007,-0.2884824328806098,-8.37,-57.9994607,-9.452849,-61.366188
47.54260867,7.58371693,304.73438,2008,0.2386727660059501,-10.4,-82.10126519,-9.88996,-64.656044
47.54260867,7.58371693,304.73438,2008,0.6994583270516471,-8.5,-62.00643014,-10.417792,-68.6287
47.54260867,7.58371693,304.73438,2008,0.9562348265919056,-7.88,-58.24612426,-10.58274,-69.870155
47.54260867,7.58371693,304.73438,2008,0.9721181966290613,-10.73,-81.57874164,-10.590987,-69.93223
