Lat,Lon,Alt,Precip,Temp,Year,JulianDay_Sin,O18A,H2A,O18P,H2P
53.57,-113.52,671.0,10.0,-8.5,1965.0,0.9510565162951534,-27.0,-213.7,-5.091922,-33.845585
49.67,-93.72,420.0,2.4214246426709,22.995446777343773,2009.0000000000002,-0.21352091543979593,-14.45,-106.2,-10.62025,-76.350845
41.153055560000006,-96.49277777999998,352.0,4.0,20.5,1992.0,0.3131070409358268,-1.7,-8.0,-10.304909,-73.47837
76.76666667,-18.66666667,12.0,19.0,4.8,1999.0,-0.21352091543979593,-9.175,-69.45,-9.635785,-64.957146
79.99999999999999,-85.56,10.0,1.0,-40.8,1990.0,0.6994583270516471,-40.81,-311.0,-4.5996137,-41.140995
37.77,-25.65,175.0,96.5,15.231591796875026,2021.0,0.9721181966290612,-3.95,-21.7,-9.70663,-69.180695
37.77,-25.65,175.0,32.0,22.1,2008.0,-0.23030567023061194,-1.35,-2.21,-9.913812,-70.64353
32.23609999999999,-110.94389999999999,753.0,17.018,10.36738351,2001.9999999999998,-0.2884824328806098,-8.310447761,-52.20895522,-5.5301747,-37.13014
35.27000000000001,-75.55,3.0,15.0,20.2,1961.9999999999998,0.7412220108485961,-2.0,-11.2,-4.7066703,-32.453674
40.2778,-111.7148,1401.0,5.2,26.1,2019.0,-0.680773409477016,-4.12,-32.0,-4.723305,-29.162252
49.81999999999999,-74.97,381.1,1.5455315297003835,12.989099121093773,2006.0,-0.21352091543979593,-11.4,-84.5,-10.95229,-79.49913
45.32,-75.67,114.0,0.0,2.2372070312500227,1997.0,0.9510565162951534,-15.9,-117.8,-8.641285,-59.587986
32.23609999999999,-110.94389999999999,753.0,14.986,22.6344086,2005.0,-0.9741004551724206,-6.337913492,-42.49101254,-5.98524,-40.487633
47.98,-55.82,22.900000000000002,14.620927534997463,12.147241210937525,2009.0000000000002,-0.9741004551724206,-10.33,-69.1,-7.051727,-44.444935
64.13,-21.93,14.0,38.0,9.0,1995.0,0.29671281927349086,-5.87,-44.3,-7.565937,-50.032444
64.13,-21.93,14.0,100.8,8.412957763671898,2018.0000000000002,0.7295575540864874,-4.782,-31.7,-6.268816,-40.137424
49.38,-82.12,245.0,0.0,7.269891357421897,2007.0000000000002,0.9760105506323684,-17.06,-123.7,-9.836884,-70.158806
35.129999999999995,-111.67,2137.0,28.0,-4.7,1966.0,0.2386727660059501,-14.1,-113.9,-1.1090806,-6.3597436
51.01666667,-114.0166667,1049.0,19.9,-5.248510742187477,2019.9999999999998,0.7116566222817746,-20.232,-167.5,-4.619268,-30.580908
37.77,-25.65,175.0,76.9,19.8,2005.0,0.29671281927349086,-2.42,-11.99,-9.679217,-68.8871
37.77,-25.65,175.0,141.0,12.8,1996.0000000000002,0.2386727660059501,-4.8,-22.6,-8.724367,-61.87055
45.32,-75.67,114.0,148.0,7.199999999999999,2003.0,-0.9741004551724206,-14.14,-91.9,-6.1293035,-36.94111
72.58,-38.4799,3200.0,0.0,-19.379431152343727,2012.0,0.6551563572090853,-33.29814048,-250.7016686,0.5666631,8.754417
62.28,-114.27,205.0,6.0,-3.4000000000000004,1992.9999999999998,0.9760105506323684,-20.63,-150.5,-9.313227,-65.22083
62.28,-114.27,205.0,7.0,-23.2,1992.0,-0.2719581575341052,-28.24,-213.5,-8.225954,-56.50326
32.370000000000005,-64.68,6.0,65.0,20.6,1963.9999999999998,-0.7116566222817751,-4.8,-25.5,-2.8050237,-20.935013
74.72,-94.98,67.0,1.2,-25.35039367675779,2021.9999999999998,0.25535329511618693,-33.413,-261.4,-6.1185827,-42.096836
37.77,-25.65,175.0,111.0,15.300000000000002,1965.0,0.9510565162951534,-4.1,-18.0,-6.7567005,-46.363262
82.50000000000001,-62.33333333000001,62.0,12.0,-29.800000000000004,1990.0,0.9510565162951534,-41.83,-319.9,-4.4344482,-33.63549
38.7,-27.339999999999996,200.0,43.0,23.4,1998.0000000000002,-0.680773409477016,-2.17,-5.4,-9.302363,-65.81321
58.75,-94.05999999999999,5.0,27.0,-10.9,1990.0,0.9760105506323684,-17.95,-133.4,-4.4128265,-29.566896
47.67000000000001,-124.48,21.000000000000004,38.0,8.194879150390648,1963.9999999999998,0.7295575540864874,-2.5,-14.9,-3.3754175,-21.847681
72.58,-38.4799,3200.0,0.9383285738294944,-11.261297607421852,2012.0,0.5877852522924732,-32.17054911,-247.3272345,-2.22022,-12.359043
37.77,-25.65,175.0,92.4,15.390496826171898,2018.0000000000002,0.7116566222817746,-4.319,-18.7,-9.857931,-70.4267
45.32,-75.67,114.0,58.6,6.4,2018.0000000000002,-0.9741004551724206,-11.53,-75.6,-8.15417,-51.50867
37.77,-25.65,175.0,115.0,20.5,1989.0000000000002,-0.9587178169872964,-3.12,-13.3,-7.190122,-48.799786
76.76666667,-18.66666667,12.0,5.4,-23.5,2017.0,0.9510565162951534,-29.73,-230.8,-5.2250085,-35.68091
72.58,-38.4799,3200.0,0.2174288798414636,-7.681799316406227,2010.9999999999998,-0.3777079652039647,-25.14504267,-185.4983682,-3.2762175,-21.54871
64.13,-21.93,14.0,99.0,2.2,1998.0000000000002,-0.7236440382959123,-10.86,-82.9,-8.620157,-54.51224
31.619999999999994,-97.21999999999998,156.0,8.0,15.0,1976.0,0.6994583270516471,0.79,13.0,-6.2222867,-39.61658
76.76666667,-18.66666667,12.0,0.2,5.4,2008.0,-0.23030567023061194,-17.99,-151.89,-9.770894,-66.001724
64.13,-21.93,14.0,98.0,-4.584967041015602,2017.0,-0.7116566222817751,-4.266,-24.4,-9.827246,-63.179173
41.153055560000006,-96.49277777999998,352.0,4.0,1.3,1992.9999999999998,0.8919813464595485,-17.8,-126.0,-11.582887,-85.483635
49.81999999999999,-74.97,381.1,0.0,-5.676611328124977,2001.9999999999998,0.6994583270516471,-22.87,-167.9,-15.013263,-113.09048
53.32,-60.42,46.0,1.5852149168495089,2.7012878417968977,1999.9999999999998,-0.970063921851507,-14.77,-104.1,-9.722485,-62.669308
63.370000000000005,-135.52,504.0,16.0,-16.4,1988.0,-0.2719581575341052,-28.5,-210.0,-11.969302,-84.824295
46.28916667,-63.11916667,48.5,44.6,19.84761962890628,2019.9999999999998,-0.24702218048093524,-7.038,-46.9,-6.1755033,-39.44323
