Year,Month,ENSO,NAO
1998,APR,-2.4,-0.68
1999,APR,2.3,-0.95
2000,APR,2.0,-0.03
2001,APR,0.3,0.0
2002,APR,-0.1,1.18
2003,APR,-0.2,-0.18
2004,APR,-1.5,1.15
2005,APR,-1.0,-0.3
2006,APR,1.8,1.24
2007,APR,-0.2,0.17
2008,APR,1.1,-1.07
2009,APR,1.3,-0.2
2010,APR,2.0,-0.72
2011,APR,3.1,2.48
2012,APR,-0.4,0.47
2013,APR,0.4,0.69
2014,APR,1.3,0.31
2015,APR,-0.1,0.73
2016,APR,-2.0,0.38
2017,APR,-0.3,1.73
2018,APR,0.8,1.24
2019,APR,0.2,0.47
2020,APR,0.3,-1.02
2021,APR,0.6,-1.43
2022,APR,2.8,-0.36
2023,APR,0.4,-0.63
2024,APR,-0.3,-0.78
2025,APR,0.9,0.18
1951,MAY,-1.1,-0.59
1952,MAY,1.2,-1.12
1953,MAY,-2.8,-0.66
1954,MAY,0.8,-0.09
1955,MAY,1.7,-0.34
1956,MAY,2.3,2.21
1957,MAY,-1.1,-0.79
1958,MAY,-0.8,-0.24
1959,MAY,0.8,0.39
1960,MAY,0.9,0.45
1961,MAY,0.5,-0.36
1962,MAY,1.8,-0.1
1963,MAY,0.6,2.16
1964,MAY,0.4,0.52
1965,MAY,0.3,-0.62
1966,MAY,-0.7,0.22
1967,MAY,-0.0,-0.99
1968,MAY,2.1,-1.76
1969,MAY,-0.4,0.55
1970,MAY,0.6,1.14
1971,MAY,1.4,0.5
1972,MAY,-2.6,0.95
1973,MAY,0.7,-0.44
1974,MAY,1.6,-0.24
1975,MAY,1.1,-0.52
1976,MAY,0.6,0.96
1977,MAY,-0.8,-0.86
1978,MAY,2.2,1.08
1979,MAY,0.8,-1.03
1980,MAY,-0.0,-1.5
1981,MAY,1.3,0.2
1982,MAY,-0.6,-0.53
1983,MAY,1.0,-0.07
1984,MAY,0.3,0.54
1985,MAY,0.7,-0.49
1986,MAY,-0.4,0.85
1987,MAY,-2.1,0.98
1988,MAY,1.5,0.63
1989,MAY,2.0,1.38
1990,MAY,2.0,-1.53
1991,MAY,-1.7,0.08
1992,MAY,0.4,2.63
1993,MAY,-0.6,-0.78
1994,MAY,-1.1,-0.57
1995,MAY,-0.6,-1.49
1996,MAY,0.5,-1.06
1997,MAY,-2.2,-0.28
1998,MAY,0.4,-1.32
1999,MAY,0.4,0.92
2000,MAY,0.6,1.58
2001,MAY,-0.8,-0.02
2002,MAY,-1.4,-0.22
2003,MAY,-0.5,0.01
2004,MAY,1.7,0.19
2005,MAY,-1.3,-1.25
2006,MAY,-0.8,-1.14
2007,MAY,-0.2,0.66
2008,MAY,-0.1,-1.73
2009,MAY,-0.2,1.68
2010,MAY,1.5,-1.49
2011,MAY,0.6,-0.06
2012,MAY,0.1,-0.91
2013,MAY,1.3,0.57
2014,MAY,0.9,-0.92
2015,MAY,-1.2,0.15
2016,MAY,0.7,-0.77
2017,MAY,0.4,-1.91
2018,MAY,0.6,2.12
2019,MAY,-0.7,-2.62
2020,MAY,0.7,-0.41
2021,MAY,0.8,-1.24
2022,MAY,2.4,0.71
2023,MAY,-1.7,0.39
2024,MAY,0.8,-0.44
2025,MAY,0.7,0.49
1951,JUN,0.3,-1.64
1952,JUN,1.2,-0.4
1953,JUN,0.2,1.09
1954,JUN,0.2,-0.25
1955,JUN,2.2,-1.1
1956,JUN,1.8,0.1
1957,JUN,0.3,-0.72
1958,JUN,0.5,-1.38
1959,JUN,-0.2,0.4
1960,JUN,0.2,-0.21
1961,JUN,0.2,0.86
1962,JUN,1.2,0.16
1963,JUN,-0.8,-0.43
1964,JUN,1.2,1.29
1965,JUN,-0.9,0.29
1966,JUN,0.5,1.05
1967,JUN,1.1,1.4
1968,JUN,1.8,0.33
1969,JUN,0.3,0.55
1970,JUN,1.6,1.55
1971,JUN,0.7,-1.57
1972,JUN,-0.9,0.88
1973,JUN,1.8,0.39
1974,JUN,0.7,-0.14
1975,JUN,2.1,-0.84
1976,JUN,0.4,0.8
1977,JUN,-1.5,-0.57
1978,JUN,1.1,1.38
1979,JUN,1.1,1.6
1980,JUN,-0.0,-0.37
1981,JUN,2.0,-0.45
1982,JUN,-1.7,-1.63
1983,JUN,0.1,0.99
1984,JUN,-0.6,-0.42
1985,JUN,-0.6,-0.8
1986,JUN,1.6,1.22
1987,JUN,-1.8,-1.82
1988,JUN,0.1,0.88
1989,JUN,1.2,-0.27
1990,JUN,0.5,-0.02
1991,JUN,-0.2,-0.82
1992,JUN,-1.0,0.2
1993,JUN,-1.4,-0.59
1994,JUN,-0.7,1.52
1995,JUN,0.2,0.13
1996,JUN,1.9,0.56
1997,JUN,-2.3,-1.47
1998,JUN,1.6,-2.72
1999,JUN,0.4,1.12
2000,JUN,-0.3,-0.03
2001,JUN,0.5,-0.2
2002,JUN,-0.4,0.38
2003,JUN,-1.0,-0.07
2004,JUN,-1.4,-0.89
2005,JUN,0.7,-0.05
2006,JUN,-0.4,0.84
2007,JUN,0.9,-1.31
2008,JUN,1.0,-1.39
2009,JUN,0.2,-1.21
2010,JUN,0.6,-0.82
2011,JUN,0.4,-1.28
2012,JUN,-0.7,-2.53
2013,JUN,2.0,0.52
2014,JUN,0.3,-0.97
2015,JUN,-0.9,-0.07
2016,JUN,1.1,-0.43
2017,JUN,-0.7,0.05
2018,JUN,-0.2,1.09
2019,JUN,-0.7,-1.09
2020,JUN,-0.6,-0.15
2021,JUN,0.7,0.77
2022,JUN,2.8,-0.12
2023,JUN,0.4,-0.58
2024,JUN,0.1,-0.09
2025,JUN,0.5,0.7
1951,JUL,-1.7,1.37
1952,JUL,0.8,-0.09
1953,JUL,-0.0,0.4
1954,JUL,0.7,-0.6
1955,JUL,2.6,1.76
1956,JUL,1.8,-0.75
1957,JUL,0.4,-1.19
1958,JUL,0.7,-1.73
1959,JUL,-0.4,0.74
1960,JUL,0.8,0.35
1961,JUL,0.4,-0.39
1962,JUL,0.1,-2.47
1963,JUL,-0.2,-0.77
1964,JUL,0.9,1.9
1965,JUL,-3.0,0.32
1966,JUL,0.1,0.32
1967,JUL,0.3,0.41
1968,JUL,1.1,-0.8
1969,JUL,-0.8,0.57
1970,JUL,-0.6,0.1
1971,JUL,0.4,0.24
1972,JUL,-2.4,0.18
1973,JUL,1.0,0.57
1974,JUL,1.9,-0.76
1975,JUL,3.1,1.55
1976,JUL,-1.4,-0.32
1977,JUL,-1.9,-0.45
1978,JUL,0.9,-1.14
1979,JUL,2.2,0.83
1980,JUL,-0.1,-0.42
1981,JUL,1.4,0.05
1982,JUL,-2.5,1.15
1983,JUL,-1.0,1.19
1984,JUL,0.3,-0.07
1985,JUL,-0.2,1.22
1986,JUL,0.5,0.12
1987,JUL,-2.2,0.52
1988,JUL,1.7,-0.35
1989,JUL,1.5,0.97
1990,JUL,0.9,0.53
1991,JUL,0.0,-0.49
1992,JUL,-1.0,0.16
1993,JUL,-1.3,-3.18
1994,JUL,-2.2,1.31
1995,JUL,0.7,-0.22
1996,JUL,1.1,0.67
1997,JUL,-1.2,0.34
1998,JUL,2.0,-0.48
1999,JUL,0.9,-0.9
2000,JUL,-0.3,-1.03
2001,JUL,-0.3,-0.25
2002,JUL,-0.8,0.62
2003,JUL,0.5,0.13
2004,JUL,-0.8,1.13
2005,JUL,0.3,-0.51
2006,JUL,-1.0,0.9
2007,JUL,-0.5,-0.58
2008,JUL,0.5,-1.27
2009,JUL,0.4,-2.15
2010,JUL,3.0,-0.42
2011,JUL,1.6,-1.51
2012,JUL,-0.1,-1.32
2013,JUL,1.3,0.67
2014,JUL,-0.3,0.18
2015,JUL,-1.9,-3.18
2016,JUL,0.7,-1.76
2017,JUL,1.3,1.26
2018,JUL,0.4,1.39
2019,JUL,-0.6,-1.43
2020,JUL,0.7,-1.23
