Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,Precip,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2016.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,295.30023,0.0,1.1,-0.43,-12.4,-103.6,-8.535663604736328,-60.933372497558594
52.3,104.2833333,427.25,2016.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,295.5241,0.0,0.7,-1.76,-10.9,-82.7,-9.434179306030273,-68.44866943359375
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,291.53262,0.0,1.2,-1.65,-12.1,-89.8,-9.627893447875977,-69.99308776855469
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,281.7547,6.515779e-05,2.0,0.61,-14.6,-109.1,-12.333208084106445,-92.50224304199219
52.3,104.2833333,427.25,2016.0,-0.970063921851507,0.0,0.0,0.0,1.0,0.0,278.09888,3.4144956e-05,-0.4,0.41,-27.5,-202.8,-14.7730712890625,-112.7962417602539
52.3,104.2833333,427.25,2016.0,-0.7116566222817751,0.0,0.0,0.0,1.0,0.0,266.15433,0.0,-0.2,-0.16,-27.8,-210.5,-21.139808654785156,-165.7402801513672
52.3,104.2833333,427.25,2016.0,-0.27195815753410524,0.0,0.0,0.0,1.0,0.0,254.54556,4.3128384e-06,0.5,0.48,-26.4,-201.1,-23.739425659179688,-187.3145294189453
52.3,104.2833333,427.25,2012.0,-0.27195815753410524,0.0,0.0,0.0,1.0,0.0,256.0939,0.0,-1.0,0.17,-35.1,-262.7,-23.086265563964844,-181.93321228027344
52.3,104.2833333,427.25,2017.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,260.47137,0.0,1.5,0.74,-17.6,-126.8,-19.880752563476562,-155.27015686035156
52.3,104.2833333,427.25,2017.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,270.12485,0.0,-0.3,1.73,-20.9,-152.0,-17.103981018066406,-132.16758728027344
52.3,104.2833333,427.25,2017.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,256.59677,0.0,0.3,0.48,-30.3,-230.6,-22.739028930664062,-179.00672912597656
52.3,104.2833333,427.25,2017.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,260.36813,0.0,-0.1,1.0,-25.9,-194.9,-21.010478973388672,-164.65911865234375
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,274.69434,0.0,-2.2,-0.29,-11.9,-88.50962751,-11.61863899230957,-86.56809997558594
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,276.20032,0.0,2.0,-0.14,-9.88,-66.74413536,-10.441368103027344,-76.8093032836914
47.54260867,7.58371693,304.73438,2004.0,0.9562348265919056,0.0,0.0,1.0,0.0,0.0,279.2048,0.0,0.7,1.02,-9.69,-71.5587575,-9.202688217163086,-66.4976806640625
47.54260867,7.58371693,304.73438,2004.0,0.9721181966290613,0.0,0.0,1.0,0.0,0.0,284.02167,0.0001690366,-1.5,1.15,-6.1,-40.66799847,-7.453621864318848,-51.95290756225586
47.54260867,7.58371693,304.73438,2004.0,0.7295575540864875,0.0,0.0,1.0,0.0,0.0,288.99155,3.2743297e-05,1.7,0.19,-7.01,-50.25006643,-6.708348274230957,-45.74235153198242
47.54260867,7.58371693,304.73438,2004.0,0.2802306751992159,0.0,0.0,1.0,0.0,0.0,283.889,0.00010311205,-1.4,-0.89,-7.21,-53.83051048,-8.501703262329102,-60.66920471191406
47.54260867,7.58371693,304.73438,2004.0,-0.23030567023061196,0.0,0.0,1.0,0.0,0.0,294.9553,0.00014510812,-0.8,1.13,-5.49,-34.72560691,-6.088839530944824,-40.53483963012695
47.54260867,7.58371693,304.73438,2004.0,-0.6932812268869771,0.0,0.0,1.0,0.0,0.0,292.1178,0.0,-0.5,-0.48,-4.8,-31.50057387,-6.539894104003906,-44.33806610107422
47.54260867,7.58371693,304.73438,2004.0,-0.9634705485641486,0.0,0.0,1.0,0.0,0.0,289.50723,0.0,-0.6,0.38,-4.92,-31.38678091,-6.733888626098633,-45.959808349609375
47.54260867,7.58371693,304.73438,2004.0,-0.970063921851507,0.0,0.0,1.0,0.0,0.0,282.97815,7.0730985e-06,-0.1,-1.1,-10.75,-76.42100974,-8.171586990356445,-57.91346740722656
47.54260867,7.58371693,304.73438,2004.0,-0.7116566222817751,0.0,0.0,1.0,0.0,0.0,282.98523,0.0,-1.1,0.73,-10.49,-75.39648751,-9.345602035522461,-67.68450927734375
47.54260867,7.58371693,304.73438,2004.0,-0.27195815753410524,0.0,0.0,1.0,0.0,0.0,279.3189,3.385527e-05,-1.3,1.21,-13.22,-98.71358212,-9.968338012695312,-72.86673736572266
47.54260867,7.58371693,304.73438,2005.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,279.46838,0.00014786229,0.6,1.52,-6.66,-42.77138547,-8.95258903503418,-64.42073059082031
47.54260867,7.58371693,304.73438,2005.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,280.56467,3.187112e-05,-5.2,-0.06,-15.78,-115.1328526,-10.134883880615234,-74.19982147216797
47.54260867,7.58371693,304.73438,2005.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,280.88824,3.2876374e-05,0.5,-1.83,-8.02,-59.70485452,-9.74363899230957,-70.96858215332031
