Lat,Lon,Alt,Temp,Precip,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
51.93,-10.25,9.0,12.2,213.0,0.0,0.0,1.0,0.0,0.0,1990.0,-0.9741004551724206,-6.66,-44.4,-5.458242416381836,-34.871299743652344
41.02444444,40.52,136.0,10.123132324218773,0.0,0.0,0.0,1.0,0.0,0.0,2017.0,-0.7236440382959123,-11.32,-66.7,-6.758922576904297,-45.271366119384766
-20.67777778,139.4875,344.0,25.9,28.2,0.0,1.0,0.0,0.0,0.0,2010.0,-0.9741004551724206,-2.6,-7.8,0.43010973930358887,13.1989107131958
9.357072,-75.289167,198.0,26.8,125.7,1.0,0.0,0.0,0.0,0.0,2005.0,-0.2884824328806098,-7.47,-46.92,-5.504535675048828,-34.60540771484375
-53.0,-70.833333,37.0,5.3,19.0,0.0,1.0,0.0,0.0,0.0,1994.0,-0.9741004551724206,-10.85,-81.0,-11.690306663513184,-86.07759857177734
34.57,69.21333333,1860.0,-2.8,31.0,0.0,1.0,0.0,0.0,0.0,1989.0,0.2386727660059501,-9.88,-56.7,-9.554250717163086,-68.335205078125
39.95,32.88,902.0,12.2,21.0,0.0,1.0,0.0,0.0,0.0,2000.0,-0.970063921851507,-7.43,-49.05,-6.690926551818848,-44.70871353149414
50.92,5.78,111.0,5.6,97.0,0.0,0.0,1.0,0.0,0.0,1987.0,-0.7236440382959123,-9.38,-66.5,-8.806281089782715,-62.212852478027344
39.46666667,-6.333333333,405.0,22.4,11.5,0.0,0.0,1.0,0.0,0.0,2000.0,-0.9634705485641486,-3.08,-15.1,-3.1218185424804688,-15.292462348937988
10.31,-85.8,25.0,25.841241455078148,326.0,1.0,0.0,0.0,0.0,0.0,1990.0,-0.9587178169872964,-7.52,-48.6,-6.084658622741699,-39.304115295410156
-0.411,32.526,1240.0,21.600854492187523,12.201794609427452,1.0,0.0,0.0,0.0,0.0,2004.0,-0.27195815753410524,3.46,25.7,-0.23717117309570312,7.886174201965332
18.19,79.44,259.0,26.016748046875023,286.0,1.0,0.0,0.0,0.0,0.0,1977.0,-0.2135209154397959,-2.16,-13.7,-3.919494867324829,-21.845504760742188
22.31666667,114.1666667,66.0,28.2,574.1,0.0,0.0,1.0,0.0,0.0,2022.0,-0.680773409477016,-9.76,-66.5,-7.48244571685791,-50.66297149658203
14.64,121.04,42.0,29.2,226.7,1.0,0.0,0.0,0.0,0.0,2021.0,0.29671281927349075,-9.1,-62.9,-6.530323028564453,-42.95631408691406
-30.08,-51.18,7.0,22.0,176.0,0.0,0.0,1.0,0.0,0.0,1968.0,0.9562348265919056,-8.63,-46.8,-5.895613670349121,-38.49752426147461
-1.68218,29.22716,1535.0,19.012536621093773,114.2,1.0,0.0,0.0,0.0,0.0,2017.0,0.7116566222817746,-0.555,13.5,-1.1952999830245972,0.25777530670166016
-0.37,-78.55,3058.0,11.7,102.0,0.0,0.0,1.0,0.0,0.0,1993.0,-0.7236440382959123,-13.32,-94.7,-8.466752052307129,-58.911895751953125
36.15,-5.35,5.0,17.5,74.8,0.0,0.0,1.0,0.0,0.0,2020.0,-0.7116566222817751,-4.66,-27.2,-4.313145160675049,-24.825366973876953
28.46344137,-16.2553441,35.0,19.8,29.7,0.0,1.0,0.0,0.0,0.0,2002.0,0.9760105506323683,-3.03,-18.6,-0.6596996784210205,4.522101402282715
19.72,-155.07,9.0,24.7,244.0,1.0,0.0,0.0,0.0,0.0,1968.0,-0.6932812268869771,-2.33,-4.5,-2.4066309928894043,-9.126411437988281
51.3,3.75,2.0,10.6,28.0,0.0,0.0,1.0,0.0,0.0,2004.0,0.9979171608653922,-6.14,-43.7,-5.096035957336426,-31.511306762695312
