Lat,Lon,Alt,Year,JulianDay_Sin,Precip,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2015.0,0.2386727660059501,0.0,-27.6,-215.2,-15.35821533203125,-121.75912475585938
52.3,104.2833333,427.25,2015.0,0.6994583270516471,0.0,-25.9,-211.2,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2015.0,0.9510565162951535,0.0,-21.7,-175.3,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2015.0,0.9760105506323683,0.0,-15.3,-112.3,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2015.0,0.741222010848596,0.0,-10.7,-84.6,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2015.0,0.29671281927349075,0.0,-14.3,-107.2,-15.367645263671875,-121.84078979492188
52.3,104.2833333,427.25,2015.0,-0.2135209154397959,0.00010476876,-9.4,-61.8,-14.933868408203125,-118.08419799804688
52.3,104.2833333,427.25,2015.0,-0.680773409477016,5.4737215e-05,-12.1,-85.6,-14.820709228515625,-117.10421752929688
52.3,104.2833333,427.25,2015.0,-0.9587178169872964,0.0,-16.3,-127.3,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2015.0,-0.9741004551724206,0.0,-20.7,-158.7,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2015.0,-0.7236440382959123,0.0,-21.3,-169.8,-14.83013916015625,-117.18588256835938
52.3,104.2833333,427.25,2015.0,-0.2884824328806098,0.0,-25.5,-201.8,-14.86785888671875,-117.51254272460938
52.3,104.2833333,427.25,2016.0,0.2386727660059501,0.0,-33.8,-269.6,-15.35821533203125,-121.75912475585938
52.3,104.2833333,427.25,2016.0,0.6994583270516471,0.0,-26.1,-209.1,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2016.0,0.9562348265919056,0.0,-26.0,-202.9,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2016.0,0.9721181966290613,0.0,-12.5,-102.1,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2016.0,0.7295575540864875,0.0,-16.4,-124.2,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2016.0,0.2802306751992159,0.0,-12.4,-103.6,-15.367645263671875,-121.84078979492188
52.3,104.2833333,427.25,2016.0,-0.23030567023061196,0.0,-10.9,-82.7,-14.915008544921875,-117.92086791992188
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,0.0,-12.1,-89.8,-14.83013916015625,-117.18588256835938
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,6.515779e-05,-14.6,-109.1,-14.801849365234375,-116.94088745117188
52.3,104.2833333,427.25,2016.0,-0.970063921851507,3.4144956e-05,-27.5,-202.8,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2016.0,-0.7116566222817751,0.0,-27.8,-210.5,-14.83013916015625,-117.18588256835938
52.3,104.2833333,427.25,2016.0,-0.27195815753410524,4.3128384e-06,-26.4,-201.1,-14.877288818359375,-117.59420776367188
52.3,104.2833333,427.25,2012.0,-0.27195815753410524,0.0,-35.1,-262.7,-14.877288818359375,-117.59420776367188
52.3,104.2833333,427.25,2017.0,0.9510565162951535,0.0,-17.6,-126.8,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2017.0,0.9760105506323683,0.0,-20.9,-152.0,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2017.0,0.2386727660059501,0.0,-30.3,-230.6,-15.35821533203125,-121.75912475585938
52.3,104.2833333,427.25,2017.0,0.6994583270516471,0.0,-25.9,-194.9,-15.414794921875,-122.24911499023438
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,0.0,-11.9,-88.50962751,-8.70068359375,-64.10360717773438
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,0.0,-9.88,-66.74413536,-8.710113525390625,-64.18527221679688
47.54260867,7.58371693,304.73438,2004.0,0.9562348265919056,0.0,-9.69,-71.5587575,-8.710113525390625,-64.18527221679688
47.54260867,7.58371693,304.73438,2004.0,0.9721181966290613,0.0001690366,-6.1,-40.66799847,-8.710113525390625,-64.18527221679688
47.54260867,7.58371693,304.73438,2004.0,0.7295575540864875,3.2743297e-05,-7.01,-50.25006643,-8.710113525390625,-64.18527221679688
47.54260867,7.58371693,304.73438,2004.0,0.2802306751992159,0.00010311205,-7.21,-53.83051048,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2004.0,-0.23030567023061196,0.00014510812,-5.49,-34.72560691,-7.8567047119140625,-56.79458236694336
47.54260867,7.58371693,304.73438,2004.0,-0.6932812268869771,0.0,-4.8,-31.50057387,-7.73883056640625,-55.77376937866211
47.54260867,7.58371693,304.73438,2004.0,-0.9634705485641486,0.0,-4.92,-31.38678091,-7.7341156005859375,-55.73293685913086
47.54260867,7.58371693,304.73438,2004.0,-0.970063921851507,7.0730985e-06,-10.75,-76.42100974,-7.73883056640625,-55.77376937866211
47.54260867,7.58371693,304.73438,2004.0,-0.7116566222817751,0.0,-10.49,-75.39648751,-7.73883056640625,-55.77376937866211
47.54260867,7.58371693,304.73438,2004.0,-0.27195815753410524,3.385527e-05,-13.22,-98.71358212,-7.7906951904296875,-56.22292709350586
47.54260867,7.58371693,304.73438,2005.0,0.2386727660059501,0.00014786229,-6.66,-42.77138547,-8.695968627929688,-64.06277465820312
47.54260867,7.58371693,304.73438,2005.0,0.6994583270516471,3.187112e-05,-15.78,-115.1328526,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2005.0,0.9510565162951535,3.2876374e-05,-8.02,-59.70485452,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2005.0,0.9760105506323683,0.0,-8.51,-58.19910378,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2005.0,0.741222010848596,0.0,-6.95,-48.05079866,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2005.0,0.29671281927349075,0.0,-5.24,-32.64544918,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2005.0,-0.2135209154397959,0.0,-5.67,-37.45673818,-7.7812652587890625,-56.14126205444336
47.54260867,7.58371693,304.73438,2005.0,-0.680773409477016,0.0,-6.33,-43.03745941,-7.73883056640625,-55.77376937866211
47.54260867,7.58371693,304.73438,2005.0,-0.9587178169872964,8.993772e-05,-9.610421834,-68.63931346,-7.7906951904296875,-56.22292709350586
47.54260867,7.58371693,304.73438,2005.0,-0.9741004551724206,0.0,-6.38,-42.73606861,-7.7341156005859375,-55.73293685913086
47.54260867,7.58371693,304.73438,2005.0,-0.7236440382959123,4.1183062e-05,-14.2,-103.3116898,-7.7624053955078125,-55.97793197631836
47.54260867,7.58371693,304.73438,2005.0,-0.2884824328806098,8.7477296e-05,-10.79,-78.0619552,-7.8189849853515625,-56.46792221069336
47.54260867,7.58371693,304.73438,2006.0,0.2386727660059501,7.0151014e-05,-10.39,-75.03694923,-8.695968627929688,-64.06277465820312
47.54260867,7.58371693,304.73438,2006.0,0.6994583270516471,3.0768017e-05,-11.52,-90.29273588,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2006.0,0.9510565162951535,4.9994796e-05,-11.23849183,-82.68571664,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2006.0,0.9760105506323683,0.0,-10.61,-76.08191291,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2006.0,0.741222010848596,0.00013877166,-8.47,-60.27743553,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2006.0,0.29671281927349075,7.102581e-05,-4.08,-26.00399436,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2006.0,-0.2135209154397959,5.6691508e-05,-3.64,-26.43863597,-7.804840087890625,-56.34542465209961
47.54260867,7.58371693,304.73438,2006.0,-0.680773409477016,3.7045822e-05,-8.43,-60.3623681,-7.7624053955078125,-55.97793197631836
47.54260867,7.58371693,304.73438,2006.0,-0.9587178169872964,7.760747e-05,-7.78,-53.80678357,-7.785980224609375,-56.18209457397461
47.54260867,7.58371693,304.73438,2006.0,-0.9741004551724206,0.00011052796,-6.51,-49.6066388,-7.804840087890625,-56.34542465209961
47.54260867,7.58371693,304.73438,2006.0,-0.7236440382959123,0.0,-9.18,-67.40884533,-7.7341156005859375,-55.73293685913086
47.54260867,7.58371693,304.73438,2006.0,-0.2884824328806098,0.0,-11.11,-83.72738599,-7.77655029296875,-56.10042953491211
47.54260867,7.58371693,304.73438,2007.0,0.2386727660059501,0.0,-12.87,-93.4449454,-8.70068359375,-64.10360717773438
47.54260867,7.58371693,304.73438,2007.0,0.6994583270516471,1.2150103e-05,-9.46,-71.36453487,-8.710113525390625,-64.18527221679688
47.54260867,7.58371693,304.73438,2007.0,0.9510565162951535,2.0590902e-05,-12.11,-89.32212676,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2007.0,0.741222010848596,3.0439389e-05,-7.87,-56.86635214,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2007.0,0.29671281927349075,0.0,-6.28,-44.71481808,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2007.0,-0.2135209154397959,0.0,-6.05,-43.8169477,-7.7812652587890625,-56.14126205444336
47.54260867,7.58371693,304.73438,2007.0,-0.680773409477016,0.0,-6.87,-44.13363048,-7.73883056640625,-55.77376937866211
47.54260867,7.58371693,304.73438,2007.0,-0.9587178169872964,0.0,-6.87,-44.13363048,-7.7341156005859375,-55.73293685913086
47.54260867,7.58371693,304.73438,2007.0,-0.9741004551724206,0.0,-8.99,-60.35032291,-7.7341156005859375,-55.73293685913086
47.54260867,7.58371693,304.73438,2007.0,-0.7236440382959123,5.4964064e-05,-10.78,-79.00926983,-7.7718353271484375,-56.05959701538086
47.54260867,7.58371693,304.73438,2007.0,-0.2884824328806098,0.0,-8.37,-57.9994607,-7.77655029296875,-56.10042953491211
47.54260867,7.58371693,304.73438,2008.0,0.2386727660059501,0.0,-10.4,-82.10126519,-8.70068359375,-64.10360717773438
47.54260867,7.58371693,304.73438,2008.0,0.6994583270516471,0.0,-8.5,-62.00643014,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2008.0,0.9562348265919056,7.351558e-05,-7.88,-58.24612426,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2008.0,0.9721181966290613,0.0,-10.73,-81.57874164,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2008.0,0.7295575540864875,8.474604e-05,-6.26,-47.19478668,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2008.0,0.2802306751992159,0.0,-6.51,-47.19496585,-8.705398559570312,-64.14443969726562
47.54260867,7.58371693,304.73438,2008.0,-0.23030567023061196,3.541625e-05,-4.36,-26.28930766,-7.7906951904296875,-56.22292709350586
47.54260867,7.58371693,304.73438,2008.0,-0.6932812268869771,7.561996e-05,-4.6,-29.45637813,-7.785980224609375,-56.18209457397461
47.54260867,7.58371693,304.73438,2008.0,-0.9634705485641486,0.0,-8.79,-61.24115279,-7.7341156005859375,-55.73293685913086
47.54260867,7.58371693,304.73438,2008.0,-0.970063921851507,0.0,-12.8,-91.96888229,-7.7341156005859375,-55.73293685913086
47.54260867,7.58371693,304.73438,2008.0,-0.7116566222817751,0.0001147301,-12.09,-89.88374997,-7.8095550537109375,-56.38625717163086
47.54260867,7.58371693,304.73438,2008.0,-0.27195815753410524,2.1500717e-05,-17.57,-134.4502205,-7.785980224609375,-56.18209457397461
