Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2016.0,0.7295575540864875,0.0,0.0,0.0,1.0,0.0,285.2303,0.7,-0.77,-16.4,-124.2,-11.040064811706543,-81.38053131103516
52.3,104.2833333,427.25,2016.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,295.30023,1.1,-0.43,-12.4,-103.6,-11.373860359191895,-83.091796875
52.3,104.2833333,427.25,2016.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,295.5241,0.7,-1.76,-10.9,-82.7,-10.424203872680664,-79.70848083496094
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,291.53262,1.2,-1.65,-12.1,-89.8,-11.821106910705566,-86.16692352294922
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,281.7547,2.0,0.61,-14.6,-109.1,-10.287837028503418,-75.1517105102539
52.3,104.2833333,427.25,2016.0,-0.970063921851507,0.0,0.0,0.0,1.0,0.0,278.09888,-0.4,0.41,-27.5,-202.8,-16.58084487915039,-128.0907745361328
52.3,104.2833333,427.25,2016.0,-0.7116566222817751,0.0,0.0,0.0,1.0,0.0,266.15433,-0.2,-0.16,-27.8,-210.5,-20.60062026977539,-161.79713439941406
52.3,104.2833333,427.25,2016.0,-0.27195815753410524,0.0,0.0,0.0,1.0,0.0,254.54556,0.5,0.48,-26.4,-201.1,-23.31961441040039,-184.5962677001953
52.3,104.2833333,427.25,2012.0,-0.27195815753410524,0.0,0.0,0.0,1.0,0.0,256.0939,-1.0,0.17,-35.1,-262.7,-23.31961441040039,-184.5962677001953
52.3,104.2833333,427.25,2017.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,260.47137,1.5,0.74,-17.6,-126.8,-20.31155776977539,-159.37330627441406
52.3,104.2833333,427.25,2017.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,270.12485,-0.3,1.73,-20.9,-152.0,-18.54104995727539,-144.52735900878906
52.3,104.2833333,427.25,2017.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,256.59677,0.3,0.48,-30.3,-230.6,-22.30789566040039,-176.1128692626953
52.3,104.2833333,427.25,2017.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,260.36813,-0.1,1.0,-25.9,-194.9,-21.13357925415039,-166.2660675048828
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,274.69434,-2.2,-0.29,-11.9,-88.50962751,-11.169955253601074,-82.71974182128906
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,276.20032,2.0,-0.14,-9.88,-66.74413536,-10.253085136413574,-75.03166198730469
47.54260867,7.58371693,304.73438,2004.0,0.9562348265919056,0.0,0.0,1.0,0.0,0.0,279.2048,0.7,1.02,-9.69,-71.5587575,-9.07716178894043,-64.94035339355469
47.54260867,7.58371693,304.73438,2004.0,0.9721181966290613,0.0,0.0,1.0,0.0,0.0,284.02167,-1.5,1.15,-6.1,-40.66799847,-7.766351222991943,-53.920379638671875
47.54260867,7.58371693,304.73438,2004.0,0.7295575540864875,0.0,0.0,1.0,0.0,0.0,288.99155,1.7,0.19,-7.01,-50.25006643,-6.988812446594238,-47.649658203125
