Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,Precip,O18 A,H2 A,O18 P,H2 P
-0.743055556,-90.30222222,1.7120972,2014.0,-0.888057322629493,1.0,0.0,0.0,0.0,0.0,290.7342224121094,4.313652425480541e-06,0.410057079,5.869160397,-1.5288939476013184,-1.0892925262451172
37.77,-25.65,137.14062,1994.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,295.2816772460937,4.340076884545852e-06,-1.71,-5.1,-2.06070613861084,-8.077760696411133
-0.743055556,-90.30222222,1.7120972,2015.0,0.705583610107178,1.0,0.0,0.0,0.0,0.0,295.7099914550781,4.11608425565646e-06,-1.712047478,-2.093139327,-1.9226466417312622,-4.903065204620361
41.05916667,-100.7463889,918.34375,1992.0,0.051619667223253764,0.0,0.0,0.0,1.0,0.0,272.2718200683594,0.0,-17.6,-134.0,-17.273069381713867,-142.46810913085938
-12.43,130.87,16.515625,2012.0,0.6994583270516471,1.0,0.0,0.0,0.0,0.0,300.6136779785156,0.0001237406686414,-6.23,-39.5,-5.107641220092773,-33.11373519897461
51.6,-1.1,55.042969,1993.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,282.08306884765625,0.0,-6.4,-39.0,-6.605544090270996,-46.55715560913086
28.22,-177.37,0.0,1987.0,-0.680773409477016,1.0,0.0,0.0,0.0,0.0,298.4550170898437,0.0001809507957659,-1.63,-4.0,-2.9529764652252197,-15.868102073669434
13.52,2.09,210.4375,1999.0,0.29671281927349075,0.0,1.0,0.0,0.0,0.0,306.6273498535156,0.0,-1.1,3.0,-2.448476552963257,-9.19351863861084
47.81666667,13.71777778,1616.0625,2002.0,0.39359027665646673,0.0,0.0,0.0,1.0,0.0,289.52716064453125,1.4676576938654762e-05,-11.98,-86.5,-7.187018394470215,-51.8385124206543
37.77,-25.65,137.14062,1962.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,286.8775329589844,6.162403587950394e-05,-4.2,-14.3,-3.3075408935546875,-15.682023048400879
47.7,27.88333333,177.36719,2013.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,267.0307922363281,0.0,-9.8,-71.49,-11.431975364685059,-89.92066192626953
49.38,-82.12,243.30469,2009.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,270.0074462890625,3.415035826037638e-05,-25.79,-187.9,-17.556196212768555,-145.01132202148438
38.98916547,-3.920273851,626.8125,2010.0,0.29671281927349075,0.0,1.0,0.0,0.0,0.0,293.5819091796875,1.1043927770515438e-05,-7.55,-53.72,-3.993029832839966,-24.34670639038086
6.166666667,102.2833333,3.2288818,2015.0,-0.2135209154397959,1.0,0.0,0.0,0.0,0.0,301.3706970214844,0.0001286749902646,-5.5,-32.3,-5.949397087097168,-40.72452926635742
36.15,-5.35,1.5737915,2017.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,286.72625732421875,2.252761623822153e-05,-5.74,-31.5,-3.6192381381988525,-20.785289764404297
47.98,-55.82,119.36328,2007.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,289.234130859375,0.0,-6.94,-47.9,-6.924748420715332,-49.43520736694336
-40.68,144.69,82.167969,1985.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,288.0068359375,0.0001324855256825,-5.62,-28.3,-3.3816940784454346,-19.343233108520508
69.4075,86.18055556,33.941406,1990.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,284.8841247558594,0.0,-14.8,-112.0,-12.543797492980957,-99.98491668701172
10.10808333,-84.12208333,2250.25,1990.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,298.35211181640625,0.0,-7.83,-54.1,-6.993956565856934,-50.05475997924805
-34.05,115.0249,77.78125,2009.0,0.23030567023061221,0.0,0.0,1.0,0.0,0.0,285.7614440917969,8.115943637676537e-05,-4.3,-22.3,-3.3202686309814453,-15.194169044494629
47.8008,11.0108,974.96875,1996.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,284.3169250488281,8.150879148161039e-05,-9.19,-60.3,-8.890986442565918,-67.10889434814453
41.818399,46.266606,0.0,2014.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,294.9775695800781,0.0,-1.85,-7.4,-4.598250389099121,-28.534137725830078
51.6,-1.1,55.042969,2015.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,276.1851501464844,0.0,-9.78,-66.8,-7.0239973068237305,-50.31740951538086
-75.58333333,-20.56666667,105.53516,1993.0,0.29671281927349075,0.0,0.0,0.0,0.0,1.0,245.30209350585932,0.0,-25.94,-205.8,-23.789793014526367,-201.04446411132812
-4.37,15.25,422.4375,1964.0,-0.6932812268869771,1.0,0.0,0.0,0.0,0.0,294.9771728515625,0.0,-1.8,-0.6,-2.8043320178985596,-13.434511184692383
50.7,5.47,141.75781,1968.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,273.8468322753906,2.546218820498325e-05,-6.94,-49.1,-9.044966697692871,-68.47919464111328
-27.43,153.08,5.7802734,2003.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,291.14605712890625,0.0003231975424569,-2.56,-0.7,-2.60306978225708,-11.685018539428711
50.3119,11.8758,564.53125,1983.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,275.6026611328125,0.0,-4.59,-30.5,-8.029789924621582,-59.36379623413086
-31.48388889,145.8294444,259.60938,2010.0,-0.680773409477016,0.0,1.0,0.0,0.0,0.0,290.5429077148437,7.778665349178482e-06,-1.74,0.4,-1.884566068649292,-4.080565452575684
-19.54333333,-68.60416667,3823.75,1986.0,0.2386727660059501,0.0,1.0,0.0,0.0,0.0,280.004150390625,0.0,-12.5,-90.0,-10.945887565612793,-85.59320831298828
