Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,O18 A,H2 A,O18 P,H2 P
47.54260867,7.58371693,304.73438,2006.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,3.0768017e-05,-11.52,-90.29273588,-8.872100830078125,-63.43199157714844
47.54260867,7.58371693,304.73438,2006.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,4.9994796e-05,-11.23849183,-82.68571664,-8.841178894042969,-63.16905212402344
47.54260867,7.58371693,304.73438,2006.0,0.9760105506323683,0.0,0.0,1.0,0.0,0.0,0.0,-10.61,-76.08191291,-8.933944702148438,-63.95787048339844
47.54260867,7.58371693,304.73438,2006.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,0.00013877166,-8.47,-60.27743553,-8.712337493896484,-62.07347106933594
47.54260867,7.58371693,304.73438,2006.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,7.102581e-05,-4.08,-26.00399436,-8.707183837890625,-62.02964782714844
47.54260867,7.58371693,304.73438,2006.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,5.6691508e-05,-3.64,-26.43863597,-8.42373275756836,-59.61936950683594
47.54260867,7.58371693,304.73438,2006.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,3.7045822e-05,-8.43,-60.3623681,-8.253662109375,-58.17320251464844
47.54260867,7.58371693,304.73438,2006.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,7.760747e-05,-7.78,-53.80678357,-7.748603820800781,-53.87852478027344
47.54260867,7.58371693,304.73438,2006.0,-0.9741004551724206,0.0,0.0,1.0,0.0,0.0,0.00011052796,-6.51,-49.6066388,-7.712528228759766,-53.57176208496094
47.54260867,7.58371693,304.73438,2006.0,-0.7236440382959123,0.0,0.0,1.0,0.0,0.0,0.0,-9.18,-67.40884533,-8.253662109375,-58.17320251464844
47.54260867,7.58371693,304.73438,2006.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,0.0,-11.11,-83.72738599,-8.49588394165039,-60.23289489746094
47.54260867,7.58371693,304.73438,2007.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,0.0,-12.87,-93.4449454,-8.810256958007812,-62.90611267089844
47.54260867,7.58371693,304.73438,2007.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,1.2150103e-05,-9.46,-71.36453487,-8.91848373413086,-63.82640075683594
47.54260867,7.58371693,304.73438,2007.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,2.0590902e-05,-12.11,-89.32212676,-8.897869110107422,-63.65110778808594
47.54260867,7.58371693,304.73438,2007.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,3.0439389e-05,-7.87,-56.86635214,-8.882408142089844,-63.51963806152344
47.54260867,7.58371693,304.73438,2007.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,0.0,-6.28,-44.71481808,-8.841178894042969,-63.16905212402344
47.54260867,7.58371693,304.73438,2007.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,0.0,-6.05,-43.8169477,-8.531959533691406,-60.53965759277344
47.54260867,7.58371693,304.73438,2007.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,0.0,-6.87,-44.13363048,-8.33096694946289,-58.83055114746094
47.54260867,7.58371693,304.73438,2007.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,0.0,-6.87,-44.13363048,-7.802717208862305,-54.33866882324219
47.54260867,7.58371693,304.73438,2007.0,-0.9741004551724206,0.0,0.0,1.0,0.0,0.0,0.0,-8.99,-60.35032291,-7.771795272827148,-54.07572937011719
47.54260867,7.58371693,304.73438,2007.0,-0.7236440382959123,0.0,0.0,1.0,0.0,0.0,5.4964064e-05,-10.78,-79.00926983,-8.17635726928711,-57.51585388183594
47.54260867,7.58371693,304.73438,2007.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,0.0,-8.37,-57.9994607,-8.49588394165039,-60.23289489746094
47.54260867,7.58371693,304.73438,2008.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,0.0,-10.4,-82.10126519,-8.815410614013672,-62.94993591308594
47.54260867,7.58371693,304.73438,2008.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,0.0,-8.5,-62.00643014,-8.944252014160156,-64.04551696777344
47.54260867,7.58371693,304.73438,2008.0,0.9562348265919056,0.0,0.0,1.0,0.0,0.0,7.351558e-05,-7.88,-58.24612426,-8.805103302001953,-62.86228942871094
47.54260867,7.58371693,304.73438,2008.0,0.9721181966290613,0.0,0.0,1.0,0.0,0.0,0.0,-10.73,-81.57874164,-8.933944702148438,-63.95787048339844
47.54260867,7.58371693,304.73438,2008.0,0.7295575540864875,0.0,0.0,1.0,0.0,0.0,8.474604e-05,-6.26,-47.19478668,-8.789642333984375,-62.73081970214844
47.54260867,7.58371693,304.73438,2008.0,0.2802306751992159,0.0,0.0,1.0,0.0,0.0,0.0,-6.51,-47.19496585,-8.83602523803711,-63.12522888183594
47.54260867,7.58371693,304.73438,2008.0,-0.23030567023061196,0.0,0.0,1.0,0.0,0.0,3.541625e-05,-4.36,-26.28930766,-8.449501037597656,-59.83848571777344
47.54260867,7.58371693,304.73438,2008.0,-0.6932812268869771,0.0,0.0,1.0,0.0,0.0,7.561996e-05,-4.6,-29.45637813,-8.196971893310547,-57.69114685058594
47.54260867,7.58371693,304.73438,2008.0,-0.9634705485641486,0.0,0.0,1.0,0.0,0.0,0.0,-8.79,-61.24115279,-7.818178176879883,-54.47013854980469
47.54260867,7.58371693,304.73438,2008.0,-0.970063921851507,0.0,0.0,1.0,0.0,0.0,0.0,-12.8,-91.96888229,-7.802717208862305,-54.33866882324219
47.54260867,7.58371693,304.73438,2008.0,-0.7116566222817751,0.0,0.0,1.0,0.0,0.0,0.0001147301,-12.09,-89.88374997,-8.111936569213867,-56.96806335449219
47.54260867,7.58371693,304.73438,2008.0,-0.27195815753410524,0.0,0.0,1.0,0.0,0.0,2.1500717e-05,-17.57,-134.4502205,-8.459808349609375,-59.92613220214844
47.54260867,7.58371693,304.73438,2009.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,0.0,-10.26,-78.8,-8.815410614013672,-62.94993591308594
47.54260867,7.58371693,304.73438,2009.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,6.977101e-05,-13.21,-99.3,-8.815410614013672,-62.94993591308594
47.54260867,7.58371693,304.73438,2009.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,0.0,-11.63,-84.9,-8.939098358154297,-64.00169372558594
47.54260867,7.58371693,304.73438,2009.0,0.9760105506323683,0.0,0.0,1.0,0.0,0.0,0.0,-6.23,-47.0,-8.939098358154297,-64.00169372558594
47.54260867,7.58371693,304.73438,2009.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,2.9940291e-05,-4.26,-27.1,-8.892715454101562,-63.60728454589844
47.54260867,7.58371693,304.73438,2009.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,8.838454e-05,-5.9,-44.9,-8.691722869873047,-61.89817810058594
47.54260867,7.58371693,304.73438,2009.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,0.0,-4.42,-25.9,-8.526805877685547,-60.49583435058594
47.54260867,7.58371693,304.73438,2009.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,0.0001388321,-6.51,-44.1,-8.122243881225586,-57.05570983886719
47.54260867,7.58371693,304.73438,2009.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,0.0,-5.48,-34.6,-7.851676940917969,-54.75498962402344
47.54260867,7.58371693,304.73438,2009.0,-0.9741004551724206,0.0,0.0,1.0,0.0,0.0,7.531765e-05,-7.89,-55.9,-7.7795257568359375,-54.14146423339844
47.54260867,7.58371693,304.73438,2009.0,-0.7236440382959123,0.0,0.0,1.0,0.0,0.0,5.270402e-05,-13.82,-102.4,-8.207279205322266,-57.77879333496094
47.54260867,7.58371693,304.73438,2009.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,0.00015930833,-12.32,-90.3,-8.233047485351562,-57.99790954589844
47.54260867,7.58371693,304.73438,2010.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,0.0,-15.69,-117.4,-8.815410614013672,-62.94993591308594
