Lat,Lon,Alt,Year,JulianDay_Sin,ENSO,NAO,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,0.7,-0.05,-5.24,-32.64544918,-6.751362,-44.891468
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,0.3,-0.51,-5.67,-37.45673818,-6.730076,-44.71355
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,-0.6,0.37,-6.33,-43.03745941,-6.664089,-44.162006
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,0.6,0.63,-9.610421834,-68.63931346,-7.421871,-50.49587
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,2.0,-0.98,-6.38,-42.73606861,-8.020008,-55.49535
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,-0.3,-0.31,-14.2,-103.3116898,-10.28484,-74.425766
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,-0.0,-0.44,-10.79,-78.0619552,-11.113146,-82.48961
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,2.7,1.27,-10.39,-75.03694923,-11.046879,-80.79521
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,0.2,-0.51,-11.52,-90.29273588,-11.783375,-86.95116
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,2.9,-1.28,-11.23849183,-82.68571664,-11.621601,-85.59898
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,1.8,1.24,-10.61,-76.08191291,-8.181782,-56.847523
47.54260867,7.58371693,304.73438,2006,0.741222010848596,-0.8,-1.14,-8.47,-60.27743553,-7.2537117,-49.09032
47.54260867,7.58371693,304.73438,2006,0.29671281927349075,-0.4,0.84,-4.08,-26.00399436,-4.9122505,-29.519398
47.54260867,7.58371693,304.73438,2006,-0.2135209154397959,-1.0,0.9,-3.64,-26.43863597,-4.551625,-26.243935
47.54260867,7.58371693,304.73438,2006,-0.680773409477016,-1.7,-1.73,-8.43,-60.3623681,-8.103024,-56.189228
47.54260867,7.58371693,304.73438,2006,-0.9587178169872964,-1.0,-1.62,-7.78,-53.80678357,-7.2026253,-48.66332
47.54260867,7.58371693,304.73438,2006,-0.9741004551724206,-2.1,-2.24,-6.51,-49.6066388,-7.519787,-51.31429
47.54260867,7.58371693,304.73438,2006,-0.7236440382959123,0.1,0.44,-9.18,-67.40884533,-8.464886,-59.213825
47.54260867,7.58371693,304.73438,2006,-0.2884824328806098,-0.5,1.34,-11.11,-83.72738599,-10.4977,-76.20494
47.54260867,7.58371693,304.73438,2007,0.2386727660059501,-1.3,0.22,-12.87,-93.4449454,-8.128567,-56.40273
47.54260867,7.58371693,304.73438,2007,0.6994583270516471,-0.1,-0.47,-9.46,-71.36453487,-9.974064,-71.82817
47.54260867,7.58371693,304.73438,2007,0.9510565162951535,0.3,1.44,-12.11,-89.32212676,-11.655659,-85.88365
47.54260867,7.58371693,304.73438,2007,0.741222010848596,-0.2,0.66,-7.87,-56.86635214,-6.6726036,-44.233173
47.54260867,7.58371693,304.73438,2007,0.29671281927349075,0.9,-1.31,-6.28,-44.71481808,-6.893978,-46.083515
47.54260867,7.58371693,304.73438,2007,-0.2135209154397959,-0.5,-0.58,-6.05,-43.8169477,-6.81522,-45.42522
47.54260867,7.58371693,304.73438,2007,-0.680773409477016,0.7,-0.14,-6.87,-44.13363048,-5.984001,-38.477543
47.54260867,7.58371693,304.73438,2007,-0.9587178169872964,0.3,0.72,-6.87,-44.13363048,-7.0940666,-47.75594
