Lat,Lon,Alt,Date,H2,O18,geometry
45.80666667,15.97,165.0,2002-12-17T00:00:00.0000000+01:00,-80.6,-12.09,POINT (15.97 45.80666667)
-1.54475,29.26068,2535.0,2013-12-15T00:00:00.0000000+01:00,0.86,-1.95,POINT (29.26068 -1.54475)
-15.85,-47.93,1061.0,1983-07-15T00:00:00.0000000+02:00,-11.0,-3.8,POINT (-47.93 -15.85)
40.41195035,-3.67806112,667.0,2014-04-15T00:00:00.0000000+02:00,-39.5,-6.23,POINT (-3.67806112 40.41195035)
47.37233597,8.083138245,397.0,1996-08-15T00:00:00.0000000+02:00,-56.3,-7.76,POINT (8.083138245 47.37233597)
50.4972,9.9428,921.0,2006-08-15T00:00:00.0000000+02:00,-66.15,-9.43,POINT (9.9428 50.4972)
32.63333333,-16.9,58.0,1998-04-15T00:00:00.0000000+02:00,-9.2,0.16,POINT (-16.9 32.63333333)
51.387367,-0.325697,10.0,2021-02-18T08:00:00.0000000+01:00,-2.53,-0.92,POINT (-0.325697 51.387367)
41.05916667,-100.7463889,919.0,1993-09-11T00:00:00.0000000+02:00,-87.0,-12.7,POINT (-100.7463889 41.05916667)
-75.58333333,-20.56666667,30.0,1992-11-15T00:00:00.0000000+01:00,-167.0,-21.32,POINT (-20.56666667 -75.58333333)
-30.08,-51.18,7.0,1965-04-15T00:00:00.0000000+02:00,-45.2,-7.0,POINT (-51.18 -30.08)
