Lat,Lon,Alt,Date,H2,O18,geometry
-75.58333333,-20.56666667,30.0,1973-05-15T00:00:00.0000000+02:00,-185.8,-24.09,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-06-15T00:00:00.0000000+02:00,-223.0,-28.84,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-07-15T00:00:00.0000000+02:00,-134.1,-16.7,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-08-15T00:00:00.0000000+02:00,-189.4,-25.73,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-09-15T00:00:00.0000000+02:00,-185.0,-24.98,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-10-15T00:00:00.0000000+02:00,-155.0,-19.59,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-11-15T00:00:00.0000000+01:00,-131.0,-17.82,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-12-15T00:00:00.0000000+01:00,-113.7,-13.47,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-01-15T00:00:00.0000000+01:00,-95.0,-9.62,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-02-15T00:00:00.0000000+01:00,-78.3,-12.46,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-03-15T00:00:00.0000000+01:00,-140.0,-18.59,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-04-15T00:00:00.0000000+02:00,-178.2,-22.97,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-05-15T00:00:00.0000000+02:00,-162.1,-21.63,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-06-15T00:00:00.0000000+02:00,-167.9,-23.71,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-07-15T00:00:00.0000000+02:00,-127.2,-17.26,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-08-15T00:00:00.0000000+02:00,-181.4,-23.78,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-09-15T00:00:00.0000000+02:00,-210.8,-25.1,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-10-15T00:00:00.0000000+02:00,-156.6,-21.16,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-11-15T00:00:00.0000000+01:00,-114.5,-15.65,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1974-12-15T00:00:00.0000000+01:00,-104.9,-14.37,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-01-15T00:00:00.0000000+01:00,-108.9,-15.27,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-02-15T00:00:00.0000000+01:00,-77.4,-11.61,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-03-15T00:00:00.0000000+01:00,-161.2,-21.44,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-04-15T00:00:00.0000000+02:00,-137.2,-18.07,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-05-15T00:00:00.0000000+02:00,-133.4,-17.24,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-07-15T00:00:00.0000000+02:00,-173.0,-22.7,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-09-15T00:00:00.0000000+02:00,-210.0,-25.84,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-10-15T00:00:00.0000000+02:00,-200.6,-24.99,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-11-15T00:00:00.0000000+01:00,-136.7,-17.18,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1975-12-15T00:00:00.0000000+01:00,-90.2,-12.07,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-01-15T00:00:00.0000000+01:00,-88.2,-12.39,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-02-15T00:00:00.0000000+01:00,-114.2,-15.44,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-03-15T00:00:00.0000000+01:00,-200.7,-25.5,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-04-15T00:00:00.0000000+02:00,-223.1,-30.18,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-05-15T00:00:00.0000000+02:00,-151.8,-17.44,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-06-15T00:00:00.0000000+02:00,-174.3,-22.12,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-07-15T00:00:00.0000000+02:00,-141.7,-18.75,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-08-15T00:00:00.0000000+02:00,-205.0,-27.18,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-09-15T00:00:00.0000000+02:00,-141.1,-19.17,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-10-15T00:00:00.0000000+02:00,-177.8,-23.31,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-11-15T00:00:00.0000000+01:00,-153.4,-19.95,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1976-12-15T00:00:00.0000000+01:00,-133.2,-17.03,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-01-15T00:00:00.0000000+01:00,-78.2,-10.16,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-02-15T00:00:00.0000000+01:00,-115.7,-16.1,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-03-15T00:00:00.0000000+01:00,-108.1,-15.32,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-04-15T00:00:00.0000000+02:00,-115.0,-15.61,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-05-15T00:00:00.0000000+02:00,-141.3,-18.76,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-06-15T00:00:00.0000000+02:00,-158.7,-21.17,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-07-15T00:00:00.0000000+02:00,-212.7,-28.42,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-08-15T00:00:00.0000000+02:00,-214.2,-28.55,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-09-15T00:00:00.0000000+02:00,-234.0,-31.22,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-10-15T00:00:00.0000000+02:00,-188.2,-25.41,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-11-15T00:00:00.0000000+01:00,-168.7,-22.13,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1977-12-15T00:00:00.0000000+01:00,-139.2,-18.57,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-01-15T00:00:00.0000000+01:00,-100.0,-14.02,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-02-15T00:00:00.0000000+01:00,-109.6,-13.78,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-03-15T00:00:00.0000000+01:00,-163.8,-21.49,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-04-15T00:00:00.0000000+02:00,-164.9,-21.41,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-07-15T00:00:00.0000000+02:00,-195.7,-22.64,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-09-15T00:00:00.0000000+02:00,-185.9,-25.69,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-10-15T00:00:00.0000000+02:00,-177.2,-22.26,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-11-15T00:00:00.0000000+01:00,-149.2,-20.34,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1978-12-15T00:00:00.0000000+01:00,-169.8,-21.71,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-01-15T00:00:00.0000000+01:00,-80.3,-10.31,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-02-15T00:00:00.0000000+01:00,-94.9,-12.95,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-03-15T00:00:00.0000000+01:00,-138.4,-18.8,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-04-15T00:00:00.0000000+02:00,-176.2,-22.92,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-05-15T00:00:00.0000000+02:00,-166.8,-21.18,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-06-15T00:00:00.0000000+02:00,-193.8,-25.31,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-07-15T00:00:00.0000000+02:00,-206.7,-26.87,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-08-15T00:00:00.0000000+02:00,-195.9,-24.98,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-09-15T00:00:00.0000000+02:00,-201.5,-26.22,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-10-15T00:00:00.0000000+02:00,-169.2,-20.61,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-11-15T00:00:00.0000000+01:00,-174.2,-23.38,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1979-12-15T00:00:00.0000000+01:00,-92.2,-12.19,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-01-15T00:00:00.0000000+01:00,-90.6,-13.35,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-02-15T00:00:00.0000000+01:00,-118.6,-16.19,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-03-15T00:00:00.0000000+01:00,-85.0,-13.07,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-04-15T00:00:00.0000000+02:00,-131.8,-18.23,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-05-15T00:00:00.0000000+02:00,-149.3,-19.91,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-06-15T00:00:00.0000000+02:00,-188.5,-24.57,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-07-15T00:00:00.0000000+02:00,-210.4,-28.97,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-08-15T00:00:00.0000000+02:00,-181.6,-25.08,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1980-09-15T00:00:00.0000000+02:00,-211.8,-28.33,POINT (-20.56666667 -75.58333333)
