Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2017.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,1.5,0.74,-17.6,-126.8,-12.983587265014648,-99.77156066894531
52.3,104.2833333,427.25,2017.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,-0.3,1.73,-20.9,-152.0,-12.541545867919922,-95.63819885253906
52.3,104.2833333,427.25,2017.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,0.3,0.48,-30.3,-230.6,-13.418037414550781,-103.53199768066406
52.3,104.2833333,427.25,2017.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,-0.1,1.0,-25.9,-194.9,-13.66823959350586,-105.44801330566406
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,-2.2,-0.29,-11.9,-88.50962751,-9.540821075439453,-69.66313171386719
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,2.0,-0.14,-9.88,-66.74413536,-9.554901123046875,-70.22593688964844
47.54260867,7.58371693,304.73438,2004.0,0.9562348265919056,0.0,0.0,1.0,0.0,0.0,0.7,1.02,-9.69,-71.5587575,-8.519615173339844,-61.31925582885742
47.54260867,7.58371693,304.73438,2004.0,0.9721181966290613,0.0,0.0,1.0,0.0,0.0,-1.5,1.15,-6.1,-40.66799847,-8.242410659790039,-58.7695426940918
47.54260867,7.58371693,304.73438,2004.0,0.7295575540864875,0.0,0.0,1.0,0.0,0.0,1.7,0.19,-7.01,-50.25006643,-9.279458999633789,-67.85404968261719
47.54260867,7.58371693,304.73438,2004.0,0.2802306751992159,0.0,0.0,1.0,0.0,0.0,-1.4,-0.89,-7.21,-53.83051048,-9.258516311645508,-67.51261901855469
47.54260867,7.58371693,304.73438,2004.0,-0.23030567023061196,0.0,0.0,1.0,0.0,0.0,-0.8,1.13,-5.49,-34.72560691,-8.66929817199707,-62.45377731323242
47.54260867,7.58371693,304.73438,2004.0,-0.6932812268869771,0.0,0.0,1.0,0.0,0.0,-0.5,-0.48,-4.8,-31.50057387,-7.8868632316589355,-55.73289108276367
47.54260867,7.58371693,304.73438,2004.0,-0.9634705485641486,0.0,0.0,1.0,0.0,0.0,-0.6,0.38,-4.92,-31.38678091,-7.37540864944458,-51.34189987182617
47.54260867,7.58371693,304.73438,2004.0,-0.970063921851507,0.0,0.0,1.0,0.0,0.0,-0.1,-1.1,-10.75,-76.42100974,-7.784338474273682,-54.95490646362305
47.54260867,7.58371693,304.73438,2004.0,-0.7116566222817751,0.0,0.0,1.0,0.0,0.0,-1.1,0.73,-10.49,-75.39648751,-7.60785436630249,-53.27170944213867
47.54260867,7.58371693,304.73438,2004.0,-0.27195815753410524,0.0,0.0,1.0,0.0,0.0,-1.3,1.21,-13.22,-98.71358212,-8.723089218139648,-62.77634811401367
47.54260867,7.58371693,304.73438,2005.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,0.6,1.52,-6.66,-42.77138547,-8.395416259765625,-60.1746940612793
47.54260867,7.58371693,304.73438,2005.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,-5.2,-0.06,-15.78,-115.1328526,-11.266572952270508,-84.71986389160156
47.54260867,7.58371693,304.73438,2005.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,0.5,-1.83,-8.02,-59.70485452,-6.784263610839844,-46.18794250488281
47.54260867,7.58371693,304.73438,2005.0,0.9760105506323683,0.0,0.0,1.0,0.0,0.0,-1.0,-0.3,-8.51,-58.19910378,-8.319795608520508,-59.41874313354492
47.54260867,7.58371693,304.73438,2005.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,-1.3,-1.25,-6.95,-48.05079866,-9.147123336791992,-66.67494201660156
47.54260867,7.58371693,304.73438,2005.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,0.7,-0.05,-5.24,-32.64544918,-8.75094985961914,-63.20527267456055
47.54260867,7.58371693,304.73438,2005.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,0.3,-0.51,-5.67,-37.45673818,-7.507321834564209,-52.19956588745117
47.54260867,7.58371693,304.73438,2005.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,-0.6,0.37,-6.33,-43.03745941,-7.723013401031494,-54.2837028503418
47.54260867,7.58371693,304.73438,2005.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,0.6,0.63,-9.610421834,-68.63931346,-7.3730950355529785,-51.35712814331055
47.54260867,7.58371693,304.73438,2005.0,-0.9741004551724206,0.0,0.0,1.0,0.0,0.0,2.0,-0.98,-6.38,-42.73606861,-7.808318614959717,-55.16093063354492
47.54260867,7.58371693,304.73438,2005.0,-0.7236440382959123,0.0,0.0,1.0,0.0,0.0,-0.3,-0.31,-14.2,-103.3116898,-7.8697590827941895,-55.59614181518555
47.54260867,7.58371693,304.73438,2005.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,-0.0,-0.44,-10.79,-78.0619552,-7.303376197814941,-50.399776458740234
47.54260867,7.58371693,304.73438,2006.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,2.7,1.27,-10.39,-75.03694923,-9.512527465820312,-69.90574645996094
47.54260867,7.58371693,304.73438,2006.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,0.2,-0.51,-11.52,-90.29273588,-8.280731201171875,-59.07853317260742
47.54260867,7.58371693,304.73438,2006.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,2.9,-1.28,-11.23849183,-82.68571664,-9.825056076049805,-72.63349914550781
47.54260867,7.58371693,304.73438,2006.0,0.9760105506323683,0.0,0.0,1.0,0.0,0.0,1.8,1.24,-10.61,-76.08191291,-8.728588104248047,-63.1163444519043
47.54260867,7.58371693,304.73438,2006.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,-0.8,-1.14,-8.47,-60.27743553,-8.127824783325195,-57.71589279174805
47.54260867,7.58371693,304.73438,2006.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,-0.4,0.84,-4.08,-26.00399436,-8.963520050048828,-65.10380554199219
47.54260867,7.58371693,304.73438,2006.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,-1.0,0.9,-3.64,-26.43863597,-8.899372100830078,-64.37452697753906
47.54260867,7.58371693,304.73438,2006.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,-1.7,-1.73,-8.43,-60.3623681,-8.644987106323242,-62.39265060424805
47.54260867,7.58371693,304.73438,2006.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,-1.0,-1.62,-7.78,-53.80678357,-7.974833011627197,-56.60139083862305
47.54260867,7.58371693,304.73438,2006.0,-0.9741004551724206,0.0,0.0,1.0,0.0,0.0,-2.1,-2.24,-6.51,-49.6066388,-7.754828929901123,-54.68131637573242
47.54260867,7.58371693,304.73438,2006.0,-0.7236440382959123,0.0,0.0,1.0,0.0,0.0,0.1,0.44,-9.18,-67.40884533,-7.746377468109131,-54.51316452026367
47.54260867,7.58371693,304.73438,2006.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,-0.5,1.34,-11.11,-83.72738599,-8.765419006347656,-63.36289596557617
47.54260867,7.58371693,304.73438,2007.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,-1.3,0.22,-12.87,-93.4449454,-8.996295928955078,-65.05458068847656
47.54260867,7.58371693,304.73438,2007.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,-0.1,-0.47,-9.46,-71.36453487,-7.8438029289245605,-55.12119674682617
47.54260867,7.58371693,304.73438,2007.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,0.3,1.44,-12.11,-89.32212676,-8.471668243408203,-60.91328048706055
