Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,293.25107,0.0,0.7,-0.05,-5.24,-32.64544918,-5.837441,-38.78468
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,290.88892,0.0,0.3,-0.51,-5.67,-37.45673818,-5.4874,-35.730278
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,295.45166,0.0,-0.6,0.37,-6.33,-43.03745941,-5.3352766,-34.39527
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,284.0055,8.993772e-05,0.6,0.63,-9.610421834,-68.63931346,-8.157112,-58.98927
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,294.28342,0.0,2.0,-0.98,-6.38,-42.73606861,-5.99729,-40.176983
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,278.78088,4.1183062e-05,-0.3,-0.31,-14.2,-103.3116898,-9.755604,-72.9123
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,278.93994,8.7477296e-05,-0.0,-0.44,-10.79,-78.0619552,-10.235151,-77.08921
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,278.52188,7.0151014e-05,2.7,1.27,-10.39,-75.03694923,-9.264904,-68.63825
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,275.58633,3.0768017e-05,0.2,-0.51,-11.52,-90.29273588,-10.52511,-79.614784
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,285.73444,4.9994796e-05,2.9,-1.28,-11.23849183,-82.68571664,-8.0901985,-58.406445
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,281.24936,0.0,1.8,1.24,-10.61,-76.08191291,-8.038155,-57.953136
47.54260867,7.58371693,304.73438,2006,0.741222010848596,288.51483,0.00013877166,-0.8,-1.14,-8.47,-60.27743553,-6.569773,-45.163372
47.54260867,7.58371693,304.73438,2006,0.29671281927349075,291.37796,7.102581e-05,-0.4,0.84,-4.08,-26.00399436,-5.6143956,-36.84193
47.54260867,7.58371693,304.73438,2006,-0.2135209154397959,285.97202,5.6691508e-05,-1.0,0.9,-3.64,-26.43863597,-6.075356,-40.856945
47.54260867,7.58371693,304.73438,2006,-0.680773409477016,292.36548,3.7045822e-05,-1.7,-1.73,-8.43,-60.3623681,-5.991714,-40.128414
47.54260867,7.58371693,304.73438,2006,-0.9587178169872964,292.78403,7.760747e-05,-1.0,-1.62,-7.78,-53.80678357,-6.3950543,-43.641552
47.54260867,7.58371693,304.73438,2006,-0.9741004551724206,285.12756,0.00011052796,-2.1,-2.24,-6.51,-49.6066388,-8.082764,-58.341686
47.54260867,7.58371693,304.73438,2006,-0.7236440382959123,278.76965,0.0,0.1,0.44,-9.18,-67.40884533,-9.424753,-70.030556
47.54260867,7.58371693,304.73438,2006,-0.2884824328806098,273.5797,0.0,-0.5,1.34,-11.11,-83.72738599,-10.383848,-78.38438
47.54260867,7.58371693,304.73438,2007,0.2386727660059501,273.4394,0.0,-1.3,0.22,-12.87,-93.4449454,-11.01581,-83.88883
47.54260867,7.58371693,304.73438,2007,0.6994583270516471,278.91876,1.2150103e-05,-0.1,-0.47,-9.46,-71.36453487,-8.896879,-65.43272
47.54260867,7.58371693,304.73438,2007,0.9510565162951535,281.7634,2.0590902e-05,0.3,1.44,-12.11,-89.32212676,-7.55489,-53.743847
47.54260867,7.58371693,304.73438,2007,0.741222010848596,284.9263,3.0439389e-05,-0.2,0.66,-7.87,-56.86635214,-6.7147527,-46.42616
47.54260867,7.58371693,304.73438,2007,0.29671281927349075,290.7206,0.0,0.9,-1.31,-6.28,-44.71481808,-5.973127,-39.96652
47.54260867,7.58371693,304.73438,2007,-0.2135209154397959,294.66248,0.0,-0.5,-0.58,-6.05,-43.8169477,-4.8336487,-29.993038
47.54260867,7.58371693,304.73438,2007,-0.680773409477016,287.81866,0.0,0.7,-0.14,-6.87,-44.13363048,-6.4192176,-43.852016
47.54260867,7.58371693,304.73438,2007,-0.9587178169872964,290.62912,0.0,0.3,0.72,-6.87,-44.13363048,-6.2668033,-42.52447
47.54260867,7.58371693,304.73438,2007,-0.9741004551724206,282.2629,0.0,1.2,0.45,-8.99,-60.35032291,-8.142242,-58.859753
47.54260867,7.58371693,304.73438,2007,-0.7236440382959123,276.48398,5.4964064e-05,1.4,0.58,-10.78,-79.00926983,-9.681255,-72.26472
47.54260867,7.58371693,304.73438,2007,-0.2884824328806098,270.57297,0.0,2.7,0.34,-8.37,-57.9994607,-10.599459,-80.26237
47.54260867,7.58371693,304.73438,2008,0.2386727660059501,274.82385,0.0,2.9,0.89,-10.4,-82.10126519,-9.889431,-74.07795
