Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,0,0,1,0,0,0.0,-0.6,0.38,-4.92,-31.38678091,-7.0295663,-49.121613
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,0,0,1,0,0,7.0730985e-06,-0.1,-1.1,-10.75,-76.42100974,-8.120912,-58.819
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,0,0,1,0,0,0.0,-1.1,0.73,-10.49,-75.39648751,-9.529068,-64.13467
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,0,0,1,0,0,3.385527e-05,-1.3,1.21,-13.22,-98.71358212,-9.676458,-72.95495
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,0,0,1,0,0,0.00014786229,0.6,1.52,-6.66,-42.77138547,-7.96942,-55.923294
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,0,0,1,0,0,3.187112e-05,-5.2,-0.06,-15.78,-115.1328526,-16.586508,-116.859116
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,0,0,1,0,0,3.2876374e-05,0.5,-1.83,-8.02,-59.70485452,-9.809526,-74.33676
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,0,0,1,0,0,0.0,-1.0,-0.3,-8.51,-58.19910378,-8.441786,-61.93091
47.54260867,7.58371693,304.73438,2005,0.741222010848596,0,0,1,0,0,0.0,-1.3,-1.25,-6.95,-48.05079866,-7.614558,-53.050114
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,0,0,1,0,0,0.0,0.7,-0.05,-5.24,-32.64544918,-6.979678,-47.382324
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,0,0,1,0,0,0.0,0.3,-0.51,-5.67,-37.45673818,-6.4342394,-41.48108
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,0,0,1,0,0,0.0,-0.6,0.37,-6.33,-43.03745941,-6.8233724,-44.359783
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,0,0,1,0,0,8.993772e-05,0.6,0.63,-9.610421834,-68.63931346,-7.3520417,-52.04657
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,0,0,1,0,0,0.0,2.0,-0.98,-6.38,-42.73606861,-7.742114,-55.465134
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,0,0,1,0,0,4.1183062e-05,-0.3,-0.31,-14.2,-103.3116898,-11.537609,-78.928825
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,0,0,1,0,0,8.7477296e-05,-0.0,-0.44,-10.79,-78.0619552,-11.040022,-81.30335
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,0,0,1,0,0,7.0151014e-05,2.7,1.27,-10.39,-75.03694923,-10.614704,-81.555
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,0,0,1,0,0,3.0768017e-05,0.2,-0.51,-11.52,-90.29273588,-8.673197,-63.47872
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,0,0,1,0,0,4.9994796e-05,2.9,-1.28,-11.23849183,-82.68571664,-11.654743,-90.62616
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,0,0,1,0,0,0.0,1.8,1.24,-10.61,-76.08191291,-8.301676,-60.660065
47.54260867,7.58371693,304.73438,2006,0.741222010848596,0,0,1,0,0,0.00013877166,-0.8,-1.14,-8.47,-60.27743553,-7.242727,-49.744576
47.54260867,7.58371693,304.73438,2006,0.29671281927349075,0,0,1,0,0,7.102581e-05,-0.4,0.84,-4.08,-26.00399436,-5.9355073,-36.040222
47.54260867,7.58371693,304.73438,2006,-0.2135209154397959,0,0,1,0,0,5.6691508e-05,-1.0,0.9,-3.64,-26.43863597,-5.9059277,-36.477257
47.54260867,7.58371693,304.73438,2006,-0.680773409477016,0,0,1,0,0,3.7045822e-05,-1.7,-1.73,-8.43,-60.3623681,-7.782118,-54.304947
47.54260867,7.58371693,304.73438,2006,-0.9587178169872964,0,0,1,0,0,7.760747e-05,-1.0,-1.62,-7.78,-53.80678357,-8.013357,-57.732513
47.54260867,7.58371693,304.73438,2006,-0.9741004551724206,0,0,1,0,0,0.00011052796,-2.1,-2.24,-6.51,-49.6066388,-8.030874,-57.384697
47.54260867,7.58371693,304.73438,2006,-0.7236440382959123,0,0,1,0,0,0.0,0.1,0.44,-9.18,-67.40884533,-11.166191,-77.21105
47.54260867,7.58371693,304.73438,2006,-0.2884824328806098,0,0,1,0,0,0.0,-0.5,1.34,-11.11,-83.72738599,-8.478615,-61.618835
47.54260867,7.58371693,304.73438,2007,0.2386727660059501,0,0,1,0,0,0.0,-1.3,0.22,-12.87,-93.4449454,-7.7476916,-53.355164
