Lat,Lon,Date,Alt,Precip (mm),Temp (°C),O18 (‰),H2 (‰),KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
-31.95,115.97,1964-12-14 23:00:00+00:00,17.0,29.0,20.9,-3.8,-16.8,0,0,1,0,0
24.91,91.84533333,2013-04-14 22:00:00+00:00,20.0,229.0,27.0,-3.02,-21.6,0,0,1,0,0
25.51900833,-80.491375,2000-12-30 23:00:00+00:00,1.0,66.8,22.912927246093773,-7.43,-42.9,1,0,0,0,0
47.67,-124.48,1965-10-14 22:00:00+00:00,21.0,279.0,6.055932617187523,-7.0,-47.7,0,0,1,0,0
-2.53,140.72,1984-09-14 22:00:00+00:00,3.0,0.0,27.338891601562523,-3.18,-22.8,1,0,0,0,0
13.73,100.5,1978-07-14 22:00:00+00:00,2.0,135.0,28.4,-6.14,-36.4,1,0,0,0,0
34.71666667,10.68333333,1997-05-14 22:00:00+00:00,23.0,16.0,20.9,-8.69,-63.9,0,1,0,0,0
48.24861111,16.35638889,1979-09-14 22:00:00+00:00,198.0,33.0,15.1,-9.53,-55.3,0,0,0,1,0
43.04363014,-6.248618618,2013-05-14 22:00:00+00:00,1355.0,11.07049291022122,6.788415527343773,-9.54,-64.8,0,0,1,0,0
13.07176111,-59.48972222,1986-09-14 22:00:00+00:00,50.0,106.0,27.197442626953148,-3.05,-17.0,1,0,0,0,0
47.81666667,13.71777778,2018-06-29 05:00:00+00:00,1618.0,23.9,15.820367431640648,-7.515,-45.38,0,0,0,1,0
19.53,-96.91,2017-09-15 00:00:00+00:00,1390.0,545.6,24.617364501953148,-10.734,-73.9,0,0,1,0,0
47.4828,11.0622,1984-07-14 22:00:00+00:00,719.0,119.5,15.5,-6.29,-39.9,0,0,0,1,0
48.24861111,16.35638889,1980-12-14 23:00:00+00:00,198.0,25.0,1.3,-15.07,-110.0,0,0,0,1,0
-21.2,-159.8,1989-06-14 22:00:00+00:00,6.0,98.0,23.5,-3.37,-12.6,1,0,0,0,0
-34.05,115.0249,2012-09-21 07:00:00+00:00,70.0,5.6,12.986779785156273,-1.76,-0.4,0,0,1,0,0
-8.77,-63.92,1973-10-14 22:00:00+00:00,105.0,187.0,24.1,-5.74,-34.7,1,0,0,0,0
48.545,13.3528,2005-08-14 22:00:00+00:00,476.0,78.2,16.1,-8.88,-62.8,0,0,0,1,0
4.05,114.81,2008-11-15 23:00:00+00:00,24.0,65.4,24.9,-15.39,-108.82,1,0,0,0,0
-7.92,-14.42,2010-03-14 23:00:00+00:00,15.0,14.2,28.6,-0.54,7.0,0,1,0,0,0
63.37,-135.52,1986-11-14 23:00:00+00:00,504.0,8.0,-20.9,-23.4,-178.0,0,0,0,1,0
-34.05,115.0249,2016-08-22 07:00:00+00:00,70.0,8.2,14.126794433593773,-5.45,-35.0,0,0,1,0,0
39.46666667,-6.333333333,2009-01-14 23:00:00+00:00,405.0,52.0,7.3,-4.52,-25.21,0,0,1,0,0
4.05,114.81,2008-04-08 22:00:00+00:00,24.0,22.4,25.4,-6.16,-38.37,1,0,0,0,0
34.01937778,-6.838286111,2002-12-10 23:00:00+00:00,75.0,18.9,14.7,-5.73,-36.21,0,0,1,0,0
64.13,-21.93,2017-05-15 00:00:00+00:00,14.0,84.8,6.708184814453148,-2.894,-17.4,0,0,1,0,0
0.512102778,25.20643889,2015-06-15 00:00:00+00:00,418.0,118.1,25.952752685546898,-1.051,7.5,1,0,0,0,0
49.7478,6.6581,2000-01-14 23:00:00+00:00,265.0,25.3,2.5,-7.82,-52.45,0,0,1,0,0
41.02444444,40.52,2022-12-14 23:00:00+00:00,136.0,141.7,10.9,-8.55,-54.9,0,0,1,0,0
-2.6,-78.56666667,1993-02-14 23:00:00+00:00,1720.0,330.0,13.802606201171898,-4.27,-21.1,0,0,1,0,0
41.78,-87.75,1966-07-14 22:00:00+00:00,189.0,168.0,25.7,-4.1,-24.2,0,0,0,1,0
51.93,-10.25,2021-11-14 23:00:00+00:00,9.0,95.0,9.9,-5.33,-31.2,0,0,1,0,0
51.6,-1.1,1996-02-14 23:00:00+00:00,48.0,50.0,2.5,-10.5,-70.0,0,0,1,0,0
25.01666667,102.6833333,1992-04-14 22:00:00+00:00,1892.0,1.3129413389833644,13.302728271484398,-3.91,-8.6,0,0,1,0,0
-34.23583333,142.0866667,2008-07-14 22:00:00+00:00,55.0,19.6,9.7,-3.88,-18.0,0,1,0,0,0
49.7478,6.6581,1978-04-14 22:00:00+00:00,265.0,26.4,7.6,-9.31,-67.0,0,0,1,0,0
38.7,-27.34,1999-03-14 23:00:00+00:00,200.0,91.0,14.0,-3.775,-18.15,0,0,1,0,0
49.0975,19.59,1998-10-14 22:00:00+00:00,570.0,81.0,8.3,-9.67,-68.3,0,0,0,1,0
52.1042,8.7519,2006-05-14 22:00:00+00:00,135.0,103.1,13.6,-6.78,-50.7,0,0,1,0,0
13.73,100.5,2022-08-14 22:00:00+00:00,2.0,7.172104530036449,30.180932617187523,-8.34,-57.2,1,0,0,0,0
