Lat,Lon,Alt,Date,H2,O18,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
9.29255,123.1759167,769.0,1996-12-14 23:00:00+00:00,-2.8,-1.94,1,0,0,0,0
-46.42,168.32,2.0,2009-04-14 22:00:00+00:00,-36.0,-5.9,0,0,1,0,0
52.8,5.05,-4.0,2008-10-11 22:00:00+00:00,-55.74,-8.4,0,0,1,0,0
49.7478,6.6581,265.0,2011-01-14 23:00:00+00:00,-49.04,-6.27,0,0,1,0,0
46.64833333,14.31833333,450.0,1994-08-14 22:00:00+00:00,-29.9,-5.14,0,0,0,1,0
76.76666667,-18.66666667,12.0,2006-10-14 22:00:00+00:00,-141.13,-19.8,0,0,0,0,1
46.60305556,13.67138889,2156.0,1994-08-14 22:00:00+00:00,-41.0,-6.9,0,0,0,1,0
-65.07944444,-63.9775,20.0,2004-10-14 22:00:00+00:00,-91.6,-11.94,0,0,0,0,1
-1.43,-48.48,24.0,1990-08-14 22:00:00+00:00,2.1,-1.83,1,0,0,0,0
47.81666667,13.71777778,1618.0,2002-02-19 23:00:00+00:00,-171.6,-22.03,0,0,0,1,0
52.1042,8.7519,135.0,1980-06-14 22:00:00+00:00,-66.9,-8.62,0,0,1,0,0
-27.17,-109.43,41.0,2017-03-14 23:00:00+00:00,2.5,-1.38,1,0,0,0,0
-65.07944444,-63.9775,20.0,1978-12-14 23:00:00+00:00,-86.6,-10.95,0,0,0,0,1
38.05011111,23.866675,498.0,2005-06-14 22:00:00+00:00,-35.03,-4.04,0,0,1,0,0
47.07777778,15.44888889,366.0,1984-05-14 22:00:00+00:00,-43.6,-7.75,0,0,0,1,0
37.53,121.4,47.0,1988-10-14 22:00:00+00:00,-32.9,-5.6,0,0,0,1,0
14.93085556,-88.09023056,1511.0,2008-08-14 22:00:00+00:00,-56.0,-8.45,1,0,0,0,0
47.6772,9.19,443.0,1994-11-14 23:00:00+00:00,-89.7,-11.77,0,0,1,0,0
43.49111613,-3.800555816,52.0,2013-05-14 22:00:00+00:00,-36.4,-6.1,0,0,1,0,0
-31.95,115.97,17.0,2011-07-14 22:00:00+00:00,-14.8,-4.43,0,0,1,0,0
52.8,5.05,-4.0,1991-06-14 22:00:00+00:00,-34.2,-4.92,0,0,1,0,0
49.7478,6.6581,265.0,1984-12-14 23:00:00+00:00,-64.5,-8.77,0,0,1,0,0
64.68972778,-148.38,278.0,2004-08-31 22:00:00+00:00,-90.5,-12.42,0,0,0,1,0
46.49722222,28.3,156.0,2019-01-14 23:00:00+00:00,-98.4,-13.72,0,0,0,1,0
36.88,30.7,49.0,2014-02-14 23:00:00+00:00,-25.9,-4.99,0,0,1,0,0
39.46666667,-6.333333333,405.0,2006-05-14 22:00:00+00:00,-12.86,-1.8,0,0,1,0,0
47.81666667,13.71777778,1618.0,2022-04-10 05:00:00+00:00,-96.59,-13.642,0,0,0,1,0
22.31666667,114.1666667,66.0,2022-07-14 22:00:00+00:00,-39.4,-5.83,0,0,1,0,0
50.3381,7.6,85.0,1992-03-14 23:00:00+00:00,-53.2,-6.9,0,0,1,0,0
12.69325,-7.995494444,381.0,1971-08-14 22:00:00+00:00,-57.9,-8.22,1,0,0,0,0
49.7703,9.9578,268.0,1996-11-14 23:00:00+00:00,-85.9,-11.29,0,0,1,0,0
-2.433333333,-54.71666667,46.0,1972-10-14 22:00:00+00:00,-4.0,-1.7,1,0,0,0,0
53.8713,8.7058,5.0,1978-12-14 23:00:00+00:00,-83.9,-11.31,0,0,1,0,0
38.05011111,23.8675,498.0,2003-02-04 23:00:00+00:00,-36.7,-6.97,0,0,1,0,0
36.83,10.23,4.0,1974-09-14 22:00:00+00:00,-19.4,-3.91,0,0,1,0,0
47.6772,9.19,443.0,2000-07-14 22:00:00+00:00,-48.6,-6.39,0,0,1,0,0
-22.9,-43.17,26.0,1967-10-14 22:00:00+00:00,-5.1,-2.31,1,0,0,0,0
36.98,35.3,73.0,2017-06-14 22:00:00+00:00,-19.5,-3.55,0,0,1,0,0
60.72,-135.07,702.0,1964-04-14 22:00:00+00:00,-147.7,-17.8,0,1,0,0,0
