#Data produced with Piso.AI v1.2020 and downloaded on 2026-06-01.
#Please cite Nelson Basler Kahmen; PNAS 2021 Vol. 118 No. 26 e2024107118 when using these data. 
#Prediction errors: d18O +/- 1.7  d2H +/- 13
"","Site","Date","Latitude","Longitude","Elevation","d18O.Piso.AI","d2H.Piso.AI"
"335","Piso.AI.Site",1977-11-15,47.5,7.6,281,-10.3,-77
"336","Piso.AI.Site",1977-12-15,47.5,7.6,281,-9.6,-80
"337","Piso.AI.Site",1978-01-15,47.5,7.6,281,-12.3,-97
"338","Piso.AI.Site",1978-02-15,47.5,7.6,281,-11.6,-81
"339","Piso.AI.Site",1978-03-15,47.5,7.6,281,-9.1,-67
"340","Piso.AI.Site",1978-04-15,47.5,7.6,281,-11,-79
"341","Piso.AI.Site",1978-05-15,47.5,7.6,281,-8.8,-65
"342","Piso.AI.Site",1978-06-15,47.5,7.6,281,-7.2,-49
"343","Piso.AI.Site",1978-07-15,47.5,7.6,281,-6.1,-39
"344","Piso.AI.Site",1978-08-15,47.5,7.6,281,-7.1,-50
"345","Piso.AI.Site",1978-09-15,47.5,7.6,281,-6,-46
"346","Piso.AI.Site",1978-10-15,47.5,7.6,281,-11.4,-87
"347","Piso.AI.Site",1978-11-15,47.5,7.6,281,-11.8,-81
"348","Piso.AI.Site",1978-12-15,47.5,7.6,281,-10.9,-80
"349","Piso.AI.Site",1979-01-15,47.5,7.6,281,-12.7,-100
"350","Piso.AI.Site",1979-02-15,47.5,7.6,281,-12,-92
"351","Piso.AI.Site",1979-03-15,47.5,7.6,281,-10,-80
"352","Piso.AI.Site",1979-04-15,47.5,7.6,281,-10.5,-77
"353","Piso.AI.Site",1979-05-15,47.5,7.6,281,-7.3,-56
"354","Piso.AI.Site",1979-06-15,47.5,7.6,281,-6.8,-46
"355","Piso.AI.Site",1979-07-15,47.5,7.6,281,-5.1,-30
"356","Piso.AI.Site",1979-08-15,47.5,7.6,281,-7.1,-50
"357","Piso.AI.Site",1979-09-15,47.5,7.6,281,-7.2,-53
"358","Piso.AI.Site",1979-10-15,47.5,7.6,281,-9,-65
