Lat,Lon,Alt,Temp,Precip,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
39.95,32.88,902,12.2,21,2000,-0.970063922,-7.43,-49.05,-7.3774495,-48.96391
50.92,5.78,111,5.6,97,1987,-0.723644038,-9.38,-66.5,-8.181115,-56.839397
39.46666667,-6.333333333,405,22.4,11.5,2000,-0.963470549,-3.08,-15.1,-4.4449463,-26.087381
10.31,-85.8,25,25.84124146,326,1990,-0.958717817,-7.52,-48.6,-7.5896635,-52.447037
-0.411,32.526,1240,21.60085449,12.20179461,2004,-0.271958158,3.46,25.7,-0.45997465,8.737663
18.19,79.44,259,26.01674805,286,1977,-0.213520915,-2.16,-13.7,-2.7144866,-13.253645
22.31666667,114.1666667,66,28.2,574.1,2022,-0.680773409,-9.76,-66.5,-9.027295,-63.098774
14.64,121.04,42,29.2,226.7,2021,0.296712819,-9.1,-62.9,-6.6851797,-43.200607
-30.08,-51.18,7,22,176,1968,0.956234827,-8.63,-46.8,-5.262964,-33.14091
-1.68218,29.22716,1535,19.01253662,114.2,2017,0.711656622,-0.555,13.5,-1.3396143,2.1234035
-0.37,-78.55,3058,11.7,102,1993,-0.723644038,-13.32,-94.7,-8.881088,-61.79154
36.15,-5.35,5,17.5,74.8,2020,-0.711656622,-4.66,-27.2,-3.98984,-22.36298
28.46344137,-16.2553441,35,19.8,29.7,2002,0.976010551,-3.03,-18.6,-1.2863104,-0.76673275
19.72,-155.07,9,24.7,244,1968,-0.693281227,-2.33,-4.5,-2.7145133,-9.917585
51.3,3.75,2,10.6,28,2004,0.997917161,-6.14,-43.7,-6.194962,-42.823368
-34.05,115.0249,70,15.74379883,3,2013,0.91060463,-3.47,-15,-3.411107,-13.941156
52.2914,10.4464,81,-0.3,22.9,2010,0.699458327,-12.32,-94.7,-10.461329,-77.83095
-46.42,168.32,2,6.8,88,1988,-0.693281227,-7.29,-47.3,-8.092358,-53.55724
-31.95,115.97,17,20.9,29,1964,-0.271958158,-3.8,-16.8,-2.548592,-9.681997
24.91,91.84533333,20,27,229,2013,0.976010551,-3.02,-21.6,-1.0504764,1.7820253
25.51900833,-80.491375,1,22.91292725,66.8,2000,6.43E-16,-7.43,-42.9,-2.2434807,-5.9995503
47.67,-124.48,21,6.055932617,279,1965,-0.974100455,-7,-47.7,-6.5943375,-46.712498
-2.53,140.72,3,27.3388916,0,1984,-0.963470549,-3.18,-22.8,-4.1663766,-23.973888
13.73,100.5,2,28.4,135,1978,-0.213520915,-6.14,-36.4,-4.9444113,-31.92003
34.71666667,10.68333333,23,20.9,16,1997,0.741222011,-8.69,-63.9,-2.9515939,-13.264801
48.24861111,16.35638889,198,15.1,33,1979,-0.958717817,-9.53,-55.3,-7.0774956,-47.91438
43.04363014,-6.248618618,1355,6.788415527,11.07049291,2013,0.741222011,-9.54,-64.8,-9.292409,-65.28456
13.07176111,-59.48972222,50,27.19744263,106,1986,-0.958717817,-3.05,-17,-2.960213,-12.32757
47.81666667,13.71777778,1618,15.82036743,23.9,2018,0.043022233,-7.515,-45.38,-7.9417696,-56.129597
19.53,-96.91,1390,24.6173645,545.6,2017,-0.963470549,-10.734,-73.9,-7.0718927,-47.259705
47.4828,11.0622,719,15.5,119.5,1984,-0.23030567,-6.29,-39.9,-7.0532265,-49.583923
48.24861111,16.35638889,198,1.3,25,1980,-0.271958158,-15.07,-110,-12.816045,-97.38499
-21.2,-159.8,6,23.5,98,1989,0.296712819,-3.37,-12.6,-4.074034,-21.855663
-34.05,115.0249,70,12.98677979,5.6,2012,-0.98867759,-1.76,-0.4,-4.112015,-20.384256
-8.77,-63.92,105,24.1,187,1973,-0.974100455,-5.74,-34.7,-2.31036,-5.7770605
48.545,13.3528,476,16.1,78.2,2005,-0.680773409,-8.88,-62.8,-7.2332516,-49.64758
4.05,114.81,24,24.9,65.4,2008,-0.699458327,-15.39,-108.82,-8.032498,-54.95013
-7.92,-14.42,15,28.6,14.2,2010,0.951056516,-0.54,7,-0.92136985,4.2236686
63.37,-135.52,504,-20.9,8,1986,-0.723644038,-23.4,-178,-27.183222,-214.39236
-34.05,115.0249,70,14.12679443,8.2,2016,-0.785649855,-5.45,-35,-3.5296583,-15.220619
39.46666667,-6.333333333,405,7.3,52,2009,0.238672766,-4.52,-25.21,-6.674947,-42.739662
4.05,114.81,24,25.4,22.4,2008,0.991114064,-6.16,-38.37,-6.140253,-39.092964
34.01937778,-6.838286111,75,14.7,18.9,2002,-0.353676122,-5.73,-36.21,-3.4792237,-18.828012
64.13,-21.93,14,6.708184814,84.8,2017,0.729557554,-2.894,-17.4,-6.8028607,-47.47608
0.512102778,25.20643889,418,25.95275269,118.1,2015,0.280230675,-1.051,7.5,-0.33480418,10.462271
49.7478,6.6581,265,2.5,25.3,2000,0.238672766,-7.82,-52.45,-8.231407,-58.49495
41.02444444,40.52,136,10.9,141.7,2022,-0.288482433,-8.55,-54.9,-8.499545,-60.017986
-2.6,-78.56666667,1720,13.8026062,330,1993,0.699458327,-4.27,-21.1,-10.413501,-72.171326
