Lat,Lon,Alt,Date,H2,O18,geometry,t2m,tp
-75.58333333,-20.56666667,30.0,1972-09-14 22:00:00+00:00,-196.6,-24.82,POINT (-20.56666667 -75.58333333),244.53646850585938,0.0
-75.58333333,-20.56666667,30.0,1972-11-14 23:00:00+00:00,-139.3,-18.82,POINT (-20.56666667 -75.58333333),259.84375,8.400282240472734e-05
-75.58333333,-20.56666667,30.0,1972-12-14 23:00:00+00:00,-75.7,-10.76,POINT (-20.56666667 -75.58333333),263.3958435058594,0.0
-75.58333333,-20.56666667,30.0,1973-01-14 23:00:00+00:00,-83.0,-11.13,POINT (-20.56666667 -75.58333333),268.85418701171875,0.0
-75.58333333,-20.56666667,30.0,1973-02-14 23:00:00+00:00,-86.2,-11.96,POINT (-20.56666667 -75.58333333),257.39581298828125,0.0
-75.58333333,-20.56666667,30.0,1973-03-14 23:00:00+00:00,-116.8,-15.49,POINT (-20.56666667 -75.58333333),260.08856201171875,0.00025725364685058594
-75.58333333,-20.56666667,30.0,1973-04-14 22:00:00+00:00,-141.7,-16.89,POINT (-20.56666667 -75.58333333),257.40625,0.0001318852009717375
-75.58333333,-20.56666667,30.0,1973-05-14 22:00:00+00:00,-185.8,-24.09,POINT (-20.56666667 -75.58333333),246.40625,1.9868215517249155e-08
-75.58333333,-20.56666667,30.0,1973-06-14 22:00:00+00:00,-223.0,-28.84,POINT (-20.56666667 -75.58333333),239.8229217529297,6.562471389770508e-05
-75.58333333,-20.56666667,30.0,1973-07-14 22:00:00+00:00,-134.1,-16.7,POINT (-20.56666667 -75.58333333),239.0989532470703,0.0
-75.58333333,-20.56666667,30.0,1973-08-14 22:00:00+00:00,-189.4,-25.73,POINT (-20.56666667 -75.58333333),240.046875,0.0
-75.58333333,-20.56666667,30.0,1973-09-14 22:00:00+00:00,-185.0,-24.98,POINT (-20.56666667 -75.58333333),247.890625,0.0
-75.58333333,-20.56666667,30.0,1973-10-14 22:00:00+00:00,-155.0,-19.59,POINT (-20.56666667 -75.58333333),256.7708435058594,3.159046173095703e-06
-75.58333333,-20.56666667,30.0,1973-11-14 23:00:00+00:00,-131.0,-17.82,POINT (-20.56666667 -75.58333333),256.4270935058594,1.9868215517249155e-08
-75.58333333,-20.56666667,30.0,1973-12-14 23:00:00+00:00,-113.7,-13.47,POINT (-20.56666667 -75.58333333),259.41668701171875,0.0
-75.58333333,-20.56666667,30.0,1974-01-14 23:00:00+00:00,-95.0,-9.62,POINT (-20.56666667 -75.58333333),269.7291564941406,3.629922866821289e-05
-75.58333333,-20.56666667,30.0,1974-02-14 23:00:00+00:00,-78.3,-12.46,POINT (-20.56666667 -75.58333333),258.15625,2.553065769461682e-06
-75.58333333,-20.56666667,30.0,1974-03-14 23:00:00+00:00,-140.0,-18.59,POINT (-20.56666667 -75.58333333),245.39584350585938,0.0
-75.58333333,-20.56666667,30.0,1974-04-14 22:00:00+00:00,-178.2,-22.97,POINT (-20.56666667 -75.58333333),260.91668701171875,0.0002100467827403918
-75.58333333,-20.56666667,30.0,1974-05-14 22:00:00+00:00,-162.1,-21.63,POINT (-20.56666667 -75.58333333),260.66668701171875,1.2159347534179688e-05
-75.58333333,-20.56666667,30.0,1974-06-14 22:00:00+00:00,-167.9,-23.71,POINT (-20.56666667 -75.58333333),254.078125,9.904304897645488e-05
-75.58333333,-20.56666667,30.0,1974-07-14 22:00:00+00:00,-127.2,-17.26,POINT (-20.56666667 -75.58333333),253.13540649414062,4.7882399485388305e-06
-75.58333333,-20.56666667,30.0,1974-08-14 22:00:00+00:00,-181.4,-23.78,POINT (-20.56666667 -75.58333333),246.4270782470703,0.0
-75.58333333,-20.56666667,30.0,1974-09-14 22:00:00+00:00,-210.8,-25.1,POINT (-20.56666667 -75.58333333),256.03125,0.0002502600254956633
-75.58333333,-20.56666667,30.0,1974-10-14 22:00:00+00:00,-156.6,-21.16,POINT (-20.56666667 -75.58333333),249.06771850585938,0.0
-75.58333333,-20.56666667,30.0,1974-11-14 23:00:00+00:00,-114.5,-15.65,POINT (-20.56666667 -75.58333333),251.484375,8.245309004450974e-07
-75.58333333,-20.56666667,30.0,1974-12-14 23:00:00+00:00,-104.9,-14.37,POINT (-20.56666667 -75.58333333),262.52081298828125,1.9868215517249155e-08
-75.58333333,-20.56666667,30.0,1975-01-14 23:00:00+00:00,-108.9,-15.27,POINT (-20.56666667 -75.58333333),264.9895935058594,0.0
-75.58333333,-20.56666667,30.0,1975-02-14 23:00:00+00:00,-77.4,-11.61,POINT (-20.56666667 -75.58333333),259.69793701171875,9.735425692269928e-07
-75.58333333,-20.56666667,30.0,1975-03-14 23:00:00+00:00,-161.2,-21.44,POINT (-20.56666667 -75.58333333),259.84375,2.4358432710869238e-05
-75.58333333,-20.56666667,30.0,1975-04-14 22:00:00+00:00,-137.2,-18.07,POINT (-20.56666667 -75.58333333),251.55728149414062,5.344549663277576e-06
-75.58333333,-20.56666667,30.0,1975-05-14 22:00:00+00:00,-133.4,-17.24,POINT (-20.56666667 -75.58333333),262.94793701171875,6.65287152514793e-05
-75.58333333,-20.56666667,30.0,1975-07-14 22:00:00+00:00,-173.0,-22.7,POINT (-20.56666667 -75.58333333),242.953125,1.3907749689678894e-06
-75.58333333,-20.56666667,30.0,1975-09-14 22:00:00+00:00,-210.0,-25.84,POINT (-20.56666667 -75.58333333),241.265625,2.086162567138672e-06
-75.58333333,-20.56666667,30.0,1975-10-14 22:00:00+00:00,-200.6,-24.99,POINT (-20.56666667 -75.58333333),259.484375,0.00010029474651673809
-75.58333333,-20.56666667,30.0,1975-11-14 23:00:00+00:00,-136.7,-17.18,POINT (-20.56666667 -75.58333333),256.140625,2.5828680350059585e-07
-75.58333333,-20.56666667,30.0,1975-12-14 23:00:00+00:00,-90.2,-12.07,POINT (-20.56666667 -75.58333333),263.22918701171875,0.0
-75.58333333,-20.56666667,30.0,1976-01-14 23:00:00+00:00,-88.2,-12.39,POINT (-20.56666667 -75.58333333),264.4895935058594,0.0
-75.58333333,-20.56666667,30.0,1976-02-14 23:00:00+00:00,-114.2,-15.44,POINT (-20.56666667 -75.58333333),258.3854064941406,1.5894570992713852e-07
-75.58333333,-20.56666667,30.0,1976-03-14 23:00:00+00:00,-200.7,-25.5,POINT (-20.56666667 -75.58333333),251.1875,9.715557098388672e-06
-75.58333333,-20.56666667,30.0,1976-04-14 22:00:00+00:00,-223.1,-30.18,POINT (-20.56666667 -75.58333333),245.58334350585938,1.390775139498146e-07
-75.58333333,-20.56666667,30.0,1976-05-14 22:00:00+00:00,-151.8,-17.44,POINT (-20.56666667 -75.58333333),259.6979064941406,0.0001518726348876953
-75.58333333,-20.56666667,30.0,1976-06-14 22:00:00+00:00,-174.3,-22.12,POINT (-20.56666667 -75.58333333),243.921875,5.761782517765823e-07
-75.58333333,-20.56666667,30.0,1976-07-14 22:00:00+00:00,-141.7,-18.75,POINT (-20.56666667 -75.58333333),248.19790649414062,1.7881393432617188e-07
-75.58333333,-20.56666667,30.0,1976-08-14 22:00:00+00:00,-205.0,-27.18,POINT (-20.56666667 -75.58333333),258.04168701171875,3.47892455465626e-05
-75.58333333,-20.56666667,30.0,1976-09-14 22:00:00+00:00,-141.1,-19.17,POINT (-20.56666667 -75.58333333),250.67709350585938,0.00019234418869018555
-75.58333333,-20.56666667,30.0,1976-10-14 22:00:00+00:00,-177.8,-23.31,POINT (-20.56666667 -75.58333333),247.03125,6.4373016357421875e-06
-75.58333333,-20.56666667,30.0,1976-11-14 23:00:00+00:00,-153.4,-19.95,POINT (-20.56666667 -75.58333333),253.125,0.0
-75.58333333,-20.56666667,30.0,1976-12-14 23:00:00+00:00,-133.2,-17.03,POINT (-20.56666667 -75.58333333),266.30206298828125,0.0
-75.58333333,-20.56666667,30.0,1977-01-14 23:00:00+00:00,-78.2,-10.16,POINT (-20.56666667 -75.58333333),272.3020935058594,0.00011914968490600586
-75.58333333,-20.56666667,30.0,1977-02-14 23:00:00+00:00,-115.7,-16.1,POINT (-20.56666667 -75.58333333),262.5208435058594,0.0
-75.58333333,-20.56666667,30.0,1977-03-14 23:00:00+00:00,-108.1,-15.32,POINT (-20.56666667 -75.58333333),260.4583435058594,0.00010323524475097656
-75.58333333,-20.56666667,30.0,1977-04-14 22:00:00+00:00,-115.0,-15.61,POINT (-20.56666667 -75.58333333),254.0364532470703,3.178914482759865e-07
-75.58333333,-20.56666667,30.0,1977-05-14 22:00:00+00:00,-141.3,-18.76,POINT (-20.56666667 -75.58333333),265.57293701171875,0.0004839301109313965
-75.58333333,-20.56666667,30.0,1977-06-14 22:00:00+00:00,-158.7,-21.17,POINT (-20.56666667 -75.58333333),254.65625,0.0
-75.58333333,-20.56666667,30.0,1977-07-14 22:00:00+00:00,-212.7,-28.42,POINT (-20.56666667 -75.58333333),241.1041717529297,0.0
-75.58333333,-20.56666667,30.0,1977-08-14 22:00:00+00:00,-214.2,-28.55,POINT (-20.56666667 -75.58333333),240.86978149414062,0.0
-75.58333333,-20.56666667,30.0,1977-09-14 22:00:00+00:00,-234.0,-31.22,POINT (-20.56666667 -75.58333333),249.8541717529297,0.0
