Date,Amount(mm),d18O,d2H,Location,Type,Lat,Lon
2004-05-14,1.2,-12.2,-83.2,Krycklan,Precipitation,64.233333,19.766667
2004-05-21,2.4,-9.4,-76.6,Krycklan,Precipitation,64.233333,19.766667
2004-05-31,2.1,-8.0,-65.4,Krycklan,Precipitation,64.233333,19.766667
2004-06-07,7.8,-9.8,-73.1,Krycklan,Precipitation,64.233333,19.766667
2004-06-14,10.3,-11.2,-84.4,Krycklan,Precipitation,64.233333,19.766667
2004-06-16,2.8,-14.2,-108.5,Krycklan,Precipitation,64.233333,19.766667
2004-06-17,3.4,-14.3,-110.0,Krycklan,Precipitation,64.233333,19.766667
2004-06-21,2.5,-13.6,-103.4,Krycklan,Precipitation,64.233333,19.766667
2004-06-23,1.8,-8.2,-59.8,Krycklan,Precipitation,64.233333,19.766667
2004-06-28,2.3,-8.6,-60.2,Krycklan,Precipitation,64.233333,19.766667
2004-06-29,9.8,-10.3,-72.0,Krycklan,Precipitation,64.233333,19.766667
2004-06-30,2.2,-10.5,-76.3,Krycklan,Precipitation,64.233333,19.766667
2004-07-01,19.1,-11.1,-76.5,Krycklan,Precipitation,64.233333,19.766667
2004-07-02,1.3,-10.7,-75.7,Krycklan,Precipitation,64.233333,19.766667
2004-07-05,30.0,-11.2,-81.2,Krycklan,Precipitation,64.233333,19.766667
2004-07-06,12.8,-12.4,-89.7,Krycklan,Precipitation,64.233333,19.766667
2004-07-07,3.0,-12.4,-89.5,Krycklan,Precipitation,64.233333,19.766667
2004-07-08,4.0,-12.6,-90.0,Krycklan,Precipitation,64.233333,19.766667
2004-07-12,3.2,-12.6,-86.5,Krycklan,Precipitation,64.233333,19.766667
2004-07-13,1.3,-10.4,-75.0,Krycklan,Precipitation,64.233333,19.766667
2004-07-14,5.4,-11.6,-86.3,Krycklan,Precipitation,64.233333,19.766667
2004-07-15,2.3,-10.1,-73.6,Krycklan,Precipitation,64.233333,19.766667
2004-07-19,2.7,-10.6,-78.1,Krycklan,Precipitation,64.233333,19.766667
2004-07-20,19.9,-11.0,-79.6,Krycklan,Precipitation,64.233333,19.766667
2004-07-21,14.7,-11.0,-78.3,Krycklan,Precipitation,64.233333,19.766667
2004-07-26,17.4,-9.0,-60.6,Krycklan,Precipitation,64.233333,19.766667
2004-07-27,2.4,-8.8,-68.2,Krycklan,Precipitation,64.233333,19.766667
2004-08-17,3.8,-10.5,-77.3,Krycklan,Precipitation,64.233333,19.766667
2004-08-18,2.1,-11.8,-85.0,Krycklan,Precipitation,64.233333,19.766667
2004-08-20,14.4,-11.8,-84.8,Krycklan,Precipitation,64.233333,19.766667
2004-08-23,22.3,-16.1,-117.6,Krycklan,Precipitation,64.233333,19.766667
2004-08-27,1.9,-10.1,-67.5,Krycklan,Precipitation,64.233333,19.766667
2004-08-28,11.0,-9.7,-65.2,Krycklan,Precipitation,64.233333,19.766667
2004-08-30,2.2,-10.9,-75.4,Krycklan,Precipitation,64.233333,19.766667
2004-09-01,16.4,-9.5,-66.0,Krycklan,Precipitation,64.233333,19.766667
2004-09-02,15.8,-9.7,-65.2,Krycklan,Precipitation,64.233333,19.766667
2004-09-06,3.2,-7.3,-52.1,Krycklan,Precipitation,64.233333,19.766667
2004-09-09,0.6,-9.0,-71.3,Krycklan,Precipitation,64.233333,19.766667
2004-09-13,1.8,-9.2,-65.7,Krycklan,Precipitation,64.233333,19.766667
2004-09-14,13.2,-13.0,-92.1,Krycklan,Precipitation,64.233333,19.766667
2004-09-15,0.5,-12.1,-88.3,Krycklan,Precipitation,64.233333,19.766667
2004-09-16,15.9,-12.3,-82.1,Krycklan,Precipitation,64.233333,19.766667
2004-09-20,8.7,-9.5,-62.6,Krycklan,Precipitation,64.233333,19.766667
2004-09-21,9.9,-9.7,-64.9,Krycklan,Precipitation,64.233333,19.766667
2004-09-22,28.6,-12.8,-92.6,Krycklan,Precipitation,64.233333,19.766667
2004-09-27,10.9,-20.5,-155.9,Krycklan,Precipitation,64.233333,19.766667
2004-09-28,6.2,-11.0,-76.7,Krycklan,Precipitation,64.233333,19.766667
2004-10-04,1.2,-10.5,-70.9,Krycklan,Precipitation,64.233333,19.766667
2004-10-05,9.7,-9.8,-66.3,Krycklan,Precipitation,64.233333,19.766667
2004-10-11,0.5,-11.2,-75.9,Krycklan,Precipitation,64.233333,19.766667
2004-10-25,10.4,-14.9,-106.6,Krycklan,Precipitation,64.233333,19.766667
2004-10-27,1.6,-14.6,-104.8,Krycklan,Precipitation,64.233333,19.766667
2004-11-01,2.2,-13.2,-94.9,Krycklan,Precipitation,64.233333,19.766667
2004-11-08,7.5,-14.7,-105.7,Krycklan,Precipitation,64.233333,19.766667
2004-11-12,5.7,-19.6,-147.6,Krycklan,Precipitation,64.233333,19.766667
2004-11-22,3.0,-20.1,-129.1,Krycklan,Precipitation,64.233333,19.766667
2004-11-25,4.1,-21.1,-157.2,Krycklan,Precipitation,64.233333,19.766667
2004-11-29,4.6,-16.4,-107.1,Krycklan,Precipitation,64.233333,19.766667
2004-12-06,3.1,-14.9,-103.8,Krycklan,Precipitation,64.233333,19.766667
2004-12-07,5.2,-21.1,-164.0,Krycklan,Precipitation,64.233333,19.766667
2004-12-13,2.3,-12.8,-88.7,Krycklan,Precipitation,64.233333,19.766667
2004-12-17,5.1,-11.6,-85.2,Krycklan,Precipitation,64.233333,19.766667
2004-12-20,6.1,-14.3,-102.4,Krycklan,Precipitation,64.233333,19.766667
2004-12-23,10.4,-23.5,-177.3,Krycklan,Precipitation,64.233333,19.766667
2004-12-27,11.1,-20.9,-156.3,Krycklan,Precipitation,64.233333,19.766667
2005-07-11,8.4,-7.9,-57.9,Krycklan,Precipitation,64.233333,19.766667
2005-07-13,8.6,-9.8,-81.1,Krycklan,Precipitation,64.233333,19.766667
2005-07-18,1.2,-7.7,-51.4,Krycklan,Precipitation,64.233333,19.766667
2005-07-20,1.8,-7.0,-51.2,Krycklan,Precipitation,64.233333,19.766667
2005-07-21,10.3,-10.9,-75.6,Krycklan,Precipitation,64.233333,19.766667
2005-07-24,11.6,-12.4,-86.5,Krycklan,Precipitation,64.233333,19.766667
2005-07-25,20.1,-13.4,-98.4,Krycklan,Precipitation,64.233333,19.766667
2005-07-28,14.5,-8.2,-55.8,Krycklan,Precipitation,64.233333,19.766667
2005-08-08,22.3,-9.2,-60.9,Krycklan,Precipitation,64.233333,19.766667
2005-08-09,11.8,-7.9,-53.0,Krycklan,Precipitation,64.233333,19.766667
2005-08-11,6.2,-7.7,-52.1,Krycklan,Precipitation,64.233333,19.766667
2005-08-12,24.4,-12.4,-88.8,Krycklan,Precipitation,64.233333,19.766667
2005-08-15,1.5,-9.9,-70.2,Krycklan,Precipitation,64.233333,19.766667
2005-08-26,31.0,-9.3,-61.3,Krycklan,Precipitation,64.233333,19.766667
2005-08-27,15.7,-18.2,-138.0,Krycklan,Precipitation,64.233333,19.766667
2005-08-29,2.5,-8.9,-63.4,Krycklan,Precipitation,64.233333,19.766667
2005-08-30,3.0,-7.7,-54.0,Krycklan,Precipitation,64.233333,19.766667
2005-09-05,1.3,-8.5,-61.3,Krycklan,Precipitation,64.233333,19.766667
2005-09-08,1.6,-6.4,-43.5,Krycklan,Precipitation,64.233333,19.766667
2005-09-09,0.7,-8.0,-61.9,Krycklan,Precipitation,64.233333,19.766667
2005-09-14,8.0,-11.8,-91.1,Krycklan,Precipitation,64.233333,19.766667
2005-09-15,10.7,-19.1,-149.8,Krycklan,Precipitation,64.233333,19.766667
2005-09-19,1.3,-15.2,-111.5,Krycklan,Precipitation,64.233333,19.766667
2005-09-21,7.7,-10.1,-70.2,Krycklan,Precipitation,64.233333,19.766667
2005-10-03,1.5,-9.3,-61.8,Krycklan,Precipitation,64.233333,19.766667
2005-10-10,1.3,-8.2,-54.8,Krycklan,Precipitation,64.233333,19.766667
2005-10-14,1.2,-10.8,-73.4,Krycklan,Precipitation,64.233333,19.766667
2005-10-21,9.2,-14.9,-103.6,Krycklan,Precipitation,64.233333,19.766667
2005-10-26,1.1,-18.1,-124.5,Krycklan,Precipitation,64.233333,19.766667
