Date	Location 	Type	d18O	d2H
23/10/2020	Pallas	Snowfall	-19.29	-139.51
26/10/2020	Pallas	Rainfall	-17.11	-126.92
02/11/2020	Pallas	Rainfall	-18.08	-132.65
03/11/2020	Pallas	Rainfall	-12.86	-97.38
04/11/2020	Pallas	Rainfall	-13.21	-93.7
05/11/2020	Pallas	Rainfall	-12.7	-102
05/11/2020	Pallas	Snowfall	-19.49	-147.8
13/11/2020	Pallas	Rainfall	-8.46	-55.6
13/11/2020	Pallas	Rainfall	-14.02	-105.56
15/11/2020	Pallas	Rainfall	-9.4	-61.32
17/11/2020	Pallas	Rainfall	-10.35	-74
18/11/2020	Pallas	Rainfall	-10.32	-73.3
19/11/2020	Pallas	Rainfall	-6.4	-58.22
19/11/2020	Pallas	Rainfall	-13.59	-104.55
19/11/2020	Pallas	Rainfall	-13.3	-96.84
21/11/2020	Pallas	Rainfall	-15.56	-113.4
22/11/2020	Pallas	Rainfall	-15.57	-113.62
23/11/2020	Pallas	Rainfall	-15.57	-113.69
23/11/2020	Pallas	Snowfall	-15.17	-109.35
25/11/2020	Pallas	Snowfall	-13.83	-96.29
26/11/2020	Pallas	Rainfall	-15.65	-117.35
26/11/2020	Pallas	Snowfall	-20.84	-158.42
30/11/2020	Pallas	Snowfall	-11.62	-80.17
01/12/2020	Pallas	Rainfall	-15.24	-106.77
01/12/2020	Pallas	Snowfall	-18.61	-135.93
02/12/2020	Pallas	Rainfall	-13.02	-92.85
02/12/2020	Pallas	Snowfall	-11.13	-76.55
03/12/2020	Pallas	Snowfall	-11.26	-77.98
04/12/2020	Pallas	Snowfall	-15.24	-106.7
04/12/2020	Pallas	Snowfall	-10.87	-75.01
06/12/2020	Pallas	Snowfall	-9.51	-62.95
07/12/2020	Pallas	Snowfall	-20.99	-154.16
08/12/2020	Pallas	Snowfall	-13.49	-92.03
09/12/2020	Pallas	Snowfall	-11.72	-75.47
10/12/2020	Pallas	Snowfall	-11.59	-72.88
11/12/2020	Pallas	Snowfall	-12.25	-79.53
14/12/2020	Pallas	Snowfall	-14.43	-104.04
14/12/2020	Pallas	Snowfall	-12.46	-77.5
15/12/2020	Pallas	Snowfall	-14.77	-104.76
15/12/2020	Pallas	Snowfall	-18.06	-126.39
16/12/2020	Pallas	Snowfall	-14.69	-105.03
16/12/2020	Pallas	Snowfall	-21.87	-161.83
17/12/2020	Pallas	Snowfall	-11.53	-67.41
18/12/2020	Pallas	Snowfall	-12.84	-97.73
18/12/2020	Pallas	Snowfall	-15.89	-114.51
19/12/2020	Pallas	Snowfall	-13.42	-102.73
21/12/2020	Pallas	Snowfall	-7.76	-52.68
21/12/2020	Pallas	Snowfall	-20.03	-149.12
22/12/2020	Pallas	Snowfall	-7.77	-52.46
22/12/2020	Pallas	Snowfall	-11.79	-82.16
23/12/2020	Pallas	Snowfall	-10.51	-72.36
25/12/2020	Pallas	Snowfall	-17.13	-136.08
26/12/2020	Pallas	Snowfall	-17.23	-136.75
28/12/2020	Pallas	Snowfall	-14.88	-105.23
28/12/2020	Pallas	Snowfall	-20.61	-151.27
29/12/2020	Pallas	Snowfall	-14.87	-105.2
29/12/2020	Pallas	Snowfall	-16.02	-114.75
30/12/2020	Pallas	Snowfall	-13.92	-95.11
31/12/2020	Pallas	Snowfall	-18.48	-143.7
31/12/2020	Pallas	Snowfall	-15.13	-103.87
04/01/2021	Pallas	Snowfall	-17.95	-127.91
07/01/2021	Pallas	Snowfall	-16.53	-114.6
08/01/2021	Pallas	Snowfall	-19.5	-138.04
11/01/2021	Pallas	Snowfall	-20.8	-145.21
12/01/2021	Pallas	Snowfall	-19.84	-138.34
15/01/2021	Pallas	Snowfall	-18.93	-133.85
18/01/2021	Pallas	Snowfall	-11.98	-79.99
21/01/2021	Pallas	Snowfall	-16.3	-115.3
21/01/2021	Pallas	Snowfall	-15.54	-97.83
23/01/2021	Pallas	Snowfall	-23.75	-181.17
25/01/2021	Pallas	Snowfall	-17.5	-131.77
25/01/2021	Pallas	Snowfall	-25.79	-193.28
26/01/2021	Pallas	Snowfall	-14.86	-111.04
26/01/2021	Pallas	Snowfall	-18.99	-143.01
27/01/2021	Pallas	Snowfall	-21.47	-163.19
27/01/2021	Pallas	Snowfall	-23.08	-173.15
28/01/2021	Pallas	Snowfall	-22.81	-172.35
28/01/2021	Pallas	Snowfall	-26.12	-196.08
29/01/2021	Pallas	Snowfall	-20.43	-148.86
01/02/2021	Pallas	Snowfall	-27.53	-208.42
01/02/2021	Pallas	Snowfall	-25.13	-186.52
03/02/2021	Pallas	Snowfall	-17.52	-121.55
04/02/2021	Pallas	Snowfall	-15.65	-108.4
05/02/2021	Pallas	Snowfall	-11.89	-74.13
08/02/2021	Pallas	Snowfall	-9.55	-53.9
11/02/2021	Pallas	Snowfall	-20.75	-143.24
12/02/2021	Pallas	Snowfall	-13.96	-91.2
15/02/2021	Pallas	Snowfall	-13.56	-97.45
18/02/2021	Pallas	Snowfall	-16.96	-118.64
19/02/2021	Pallas	Snowfall	-14.71	-94.21
22/02/2021	Pallas	Snowfall	-21.55	-164
22/02/2021	Pallas	Snowfall	-21.69	-159.04
23/02/2021	Pallas	Snowfall	-19.57	-146.91
24/02/2021	Pallas	Snowfall	-14.75	-108.18
24/02/2021	Pallas	Snowfall	-14.01	-105.8
24/02/2021	Pallas	Snowfall	-17.62	-130.95
25/02/2021	Pallas	Snowfall	-18.41	-140.37
01/03/2021	Pallas	Snowfall	-12.56	-97.79
08/03/2021	Pallas	Snowfall	-20.6	-155.77
10/03/2021	Pallas	Snowfall	-15.45	-96.83
11/03/2021	Pallas	Snowfall	-12.32	-85.03
12/03/2021	Pallas	Snowfall	-14.1	-92.01
15/03/2021	Pallas	Snowfall	-15.04	-110.92
16/03/2021	Pallas	Snowfall	-15.55	-115.1
18/03/2021	Pallas	Snowfall	-11.63	-84.44
22/03/2021	Pallas	Snowfall	-13.8	-106.12
23/03/2021	Pallas	Snowfall	-14.05	-107.95
29/03/2021	Pallas	Snowfall	-6.47	-50.16
30/03/2021	Pallas	Snowfall	-12.51	-95.24
30/03/2021	Pallas	Snowfall	-15.95	-123.23
06/04/2021	Pallas	Snowfall	-11.17	-81.5
06/04/2021	Pallas	Snowfall	-19.2	-151.21
07/04/2021	Pallas	Snowfall	-13.04	-92.87
07/04/2021	Pallas	Snowfall	-21.12	-165.3
