Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,469.0,2015.0,-0.2135209154397959,-9.4,-61.8,-19.389297485351562,-152.65016174316406
52.3,104.2833333,469.0,2015.0,-0.680773409477016,-12.1,-85.6,-19.36223793029785,-152.50588989257812
52.3,104.2833333,469.0,2015.0,-0.9587178169872964,-16.3,-127.3,-19.33935546875,-152.34710693359375
52.3,104.2833333,469.0,2015.0,-0.9741004551724206,-20.7,-158.7,-19.33441734313965,-152.2536163330078
52.3,104.2833333,469.0,2015.0,-0.7236440382959123,-21.3,-169.8,-19.36223793029785,-152.50588989257812
52.3,104.2833333,469.0,2015.0,-0.2884824328806098,-25.5,-201.8,-19.381595611572266,-152.6667022705078
52.3,104.2833333,469.0,2016.0,0.2386727660059501,-33.8,-269.6,-19.3609676361084,-152.44503784179688
52.3,104.2833333,469.0,2016.0,0.6994583270516471,-26.1,-209.1,-19.349580764770508,-152.20172119140625
52.3,104.2833333,469.0,2016.0,0.9562348265919056,-26.0,-202.9,-19.32144546508789,-151.84066772460938
52.3,104.2833333,469.0,2016.0,0.9721181966290613,-12.5,-102.1,-19.318347930908203,-151.8427734375
52.3,104.2833333,469.0,2016.0,0.7295575540864875,-16.4,-124.2,-19.338909149169922,-152.11976623535156
52.3,104.2833333,469.0,2016.0,0.2802306751992159,-12.4,-103.6,-19.3609676361084,-152.44503784179688
52.3,104.2833333,469.0,2016.0,-0.23030567023061196,-10.9,-82.7,-19.35353660583496,-152.4189453125
52.3,104.2833333,469.0,2016.0,-0.6932812268869771,-12.1,-89.8,-19.34442138671875,-152.33998107910156
52.3,104.2833333,469.0,2016.0,-0.9634705485641486,-14.6,-109.1,-19.293243408203125,-151.97557067871094
52.3,104.2833333,469.0,2016.0,-0.970063921851507,-27.5,-202.8,-19.293243408203125,-151.97557067871094
52.3,104.2833333,469.0,2016.0,-0.7116566222817751,-27.8,-210.5,-19.330020904541016,-152.26406860351562
52.3,104.2833333,469.0,2016.0,-0.27195815753410524,-26.4,-201.1,-19.36641502380371,-152.4913787841797
52.3,104.2833333,469.0,2012.0,-0.27195815753410524,-35.1,-262.7,-19.41732406616211,-152.8984375
52.3,104.2833333,469.0,2017.0,0.9510565162951535,-17.6,-126.8,-19.28806495666504,-151.65074157714844
52.3,104.2833333,469.0,2017.0,0.9760105506323683,-20.9,-152.0,-19.285478591918945,-151.6134490966797
52.3,104.2833333,469.0,2017.0,0.2386727660059501,-30.3,-230.6,-19.32917594909668,-152.2032928466797
52.3,104.2833333,469.0,2017.0,0.6994583270516471,-25.9,-194.9,-19.319747924804688,-152.0155487060547
47.54260867,7.58371693,316.0,2004.0,0.2386727660059501,-11.9,-88.50962751,-9.348587036132812,-65.31159973144531
47.54260867,7.58371693,316.0,2004.0,0.6994583270516471,-9.88,-66.74413536,-9.71664047241211,-68.24393463134766
47.54260867,7.58371693,316.0,2004.0,0.9562348265919056,-9.69,-71.5587575,-9.89534854888916,-69.7209243774414
47.54260867,7.58371693,316.0,2004.0,0.9721181966290613,-6.1,-40.66799847,-9.91244125366211,-69.8393325805664
47.54260867,7.58371693,316.0,2004.0,0.7295575540864875,-7.01,-50.25006643,-9.733121871948242,-68.41287994384766
47.54260867,7.58371693,316.0,2004.0,0.2802306751992159,-7.21,-53.83051048,-9.382537841796875,-65.57699584960938
47.54260867,7.58371693,316.0,2004.0,-0.23030567023061196,-5.49,-34.72560691,-9.004159927368164,-62.511207580566406
