Lat,Lon,Alt,Precip,Temp,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
45.32,-75.67,114.0,49.7,19.085504150390648,0.0,0.0,0.0,1.0,0.0,2020.0,-0.9679377830240641,-6.079,-36.4,-7.653297424316406,-54.25381088256836
49.82,-74.97,381.1,0.0,19.459130859375023,0.0,0.0,0.0,1.0,0.0,2007.0,-0.680773409477016,-13.28,-96.4,-9.518186569213867,-70.22216796875
32.2361,-110.9439,753.0,113.6,29.46236559,0.0,1.0,0.0,0.0,0.0,1987.0,-0.680773409477016,-3.733450704,-32.75176056,-5.987265586853027,-40.184757232666016
64.13,-21.93,14.0,149.0,2.9,0.0,0.0,0.0,1.0,0.0,1975.0,0.6994583270516471,-7.15,-50.1,-7.3856120109558105,-52.587223052978516
41.05916667,-100.7463889,919.0,0.0,27.552087402343773,0.0,0.0,0.0,1.0,0.0,1998.0,-0.47115950767386394,-5.5,-44.0,-6.074780464172363,-40.55638885498047
49.38,-82.12,245.0,1.0653254081262276,4.929040527343773,0.0,0.0,0.0,1.0,0.0,2001.0,-0.9587178169872964,-11.83,-81.8,-12.807706832885742,-97.5086441040039
46.28916667,-63.11916667,48.5,24.1,21.1,0.0,0.0,0.0,1.0,0.0,2018.0,-0.2135209154397959,-3.03,-17.9,-7.3484039306640625,-51.68193054199219
47.98,-55.82,22.9,0.0,9.344812011718773,0.0,0.0,0.0,1.0,0.0,1997.0,0.29671281927349075,-5.84,-41.4,-9.045434951782227,-66.53311157226562
53.32,-60.42,46.0,0.0,6.825067138671898,0.0,0.0,0.0,1.0,0.0,1997.0,0.741222010848596,-11.03,-84.2,-12.227441787719727,-93.00284576416016
33.21722222,-87.54305556,65.0,25.4,22.735284423828148,0.0,0.0,1.0,0.0,0.0,2007.0,-0.9398560579418953,-5.8,-35.2,-4.289268493652344,-23.90620231628418
49.881,-119.5494,500.0,13.6,6.9,0.0,1.0,0.0,0.0,0.0,2010.0,-0.8115390590073611,-12.1,-95.0,-12.710329055786133,-96.9695816040039
64.13,-21.93,14.0,21.5,3.9,0.0,0.0,1.0,0.0,0.0,2008.0,0.9721181966290613,-8.35,-61.84,-7.308514595031738,-51.881290435791016
62.28,-114.27,205.0,8.1,-5.546087646484352,0.0,0.0,0.0,1.0,0.0,2021.0,-0.7116566222817751,-25.364,-189.5,-22.1944637298584,-174.6924591064453
32.37,-64.68,6.0,132.0,24.5,0.0,0.0,1.0,0.0,0.0,1964.0,-0.970063921851507,-4.0,-19.2,-3.9800610542297363,-21.84007453918457
35.9075,-106.4038889,3180.0,145.61,1.5027404785156475,0.0,0.0,0.0,1.0,0.0,1992.0,-0.2553532951161881,-12.08,-75.5,-8.888404846191406,-64.1569595336914
76.76666667,-18.66666667,12.0,21.4,-3.6,0.0,0.0,0.0,0.0,1.0,2005.0,0.741222010848596,-11.58,-83.78,-14.87680435180664,-113.51756286621094
35.61666667,-106.0888889,1940.0,48.12,12.644311523437525,0.0,1.0,0.0,0.0,0.0,1991.0,0.9242907221930934,-15.48,-112.1,-14.803731918334961,-108.2332992553711
76.52,-68.83,77.0,3.0,-23.8,0.0,0.0,0.0,0.0,1.0,1970.0,0.9510565162951535,-30.19,-230.7,-29.632862091064453,-235.7132110595703
45.32,-75.67,114.0,69.0,21.88179931640628,0.0,0.0,0.0,1.0,0.0,2018.0,-0.6932812268869771,-6.516,-40.8,-7.469797611236572,-52.65979766845703
76.76666667,-18.66666667,12.0,6.2,-24.0,0.0,0.0,0.0,0.0,1.0,2003.0,-0.2884824328806098,-25.47,-187.8,-18.866079330444336,-147.1654052734375
48.78,-123.13,178.0,0.5587619074503891,15.203759765625025,0.0,0.0,1.0,0.0,0.0,1999.0,0.29671281927349075,-9.19,-69.7,-9.5746488571167,-70.8860092163086
47.98,-55.82,22.9,0.0,1.4301391601562727,0.0,0.0,0.0,1.0,0.0,2000.0,-0.27195815753410524,-9.07,-58.2,-10.100387573242188,-75.12413024902344
63.52,-116.0,241.0,1.2063356320140883,13.662957763671898,0.0,0.0,0.0,1.0,0.0,2008.0,-0.6932812268869771,-17.72,-132.1,-17.74726104736328,-138.3351593017578
33.21722222,-87.54305556,65.0,12.6,3.4320007324218977,0.0,0.0,1.0,0.0,0.0,2008.0,0.5524353131676196,-3.3,-11.4,-4.302729606628418,-24.412105560302734
