Lat,Lon,Alt,Year,JulianDay_Sin,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,1.2,-1.65,-12.1,-89.8,-6.702580451965332,-48.23930740356445
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,2.0,0.61,-14.6,-109.1,-12.571684837341309,-92.94038391113281
52.3,104.2833333,427.25,2016.0,-0.970063921851507,-0.4,0.41,-27.5,-202.8,-11.3958101272583,-83.86924743652344
52.3,104.2833333,427.25,2016.0,-0.7116566222817751,-0.2,-0.16,-27.8,-210.5,-16.171228408813477,-123.91935729980469
52.3,104.2833333,427.25,2016.0,-0.27195815753410524,0.5,0.48,-26.4,-201.1,-19.949251174926758,-156.10647583007812
52.3,104.2833333,427.25,2012.0,-0.27195815753410524,-1.0,0.17,-35.1,-262.7,-10.830439567565918,-85.63702392578125
52.3,104.2833333,427.25,2017.0,0.9510565162951535,1.5,0.74,-17.6,-126.8,-11.047816276550293,-79.82757568359375
52.3,104.2833333,427.25,2017.0,0.9760105506323683,-0.3,1.73,-20.9,-152.0,-14.357129096984863,-105.39495849609375
52.3,104.2833333,427.25,2017.0,0.2386727660059501,0.3,0.48,-30.3,-230.6,-17.31853675842285,-127.79818725585938
52.3,104.2833333,427.25,2017.0,0.6994583270516471,-0.1,1.0,-25.9,-194.9,-16.362903594970703,-122.11737060546875
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,-2.2,-0.29,-11.9,-88.50962751,-12.81106948852539,-95.81121826171875
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,2.0,-0.14,-9.88,-66.74413536,-9.1470365524292,-64.63088989257812
47.54260867,7.58371693,304.73438,2004.0,0.9562348265919056,0.7,1.02,-9.69,-71.5587575,-8.065336227416992,-56.20597839355469
47.54260867,7.58371693,304.73438,2004.0,0.9721181966290613,-1.5,1.15,-6.1,-40.66799847,-8.891097068786621,-62.23999786376953
47.54260867,7.58371693,304.73438,2004.0,0.7295575540864875,1.7,0.19,-7.01,-50.25006643,-8.362035751342773,-58.46503829956055
47.54260867,7.58371693,304.73438,2004.0,0.2802306751992159,-1.4,-0.89,-7.21,-53.83051048,-5.338586330413818,-35.24342346191406
47.54260867,7.58371693,304.73438,2004.0,-0.23030567023061196,-0.8,1.13,-5.49,-34.72560691,-5.082169532775879,-34.86421585083008
47.54260867,7.58371693,304.73438,2004.0,-0.6932812268869771,-0.5,-0.48,-4.8,-31.50057387,-5.0798845291137695,-32.95877456665039
47.54260867,7.58371693,304.73438,2004.0,-0.9634705485641486,-0.6,0.38,-4.92,-31.38678091,-5.078243255615234,-32.45149612426758
47.54260867,7.58371693,304.73438,2004.0,-0.970063921851507,-0.1,-1.1,-10.75,-76.42100974,-9.55239486694336,-67.87355041503906
47.54260867,7.58371693,304.73438,2004.0,-0.7116566222817751,-1.1,0.73,-10.49,-75.39648751,-8.946063041687012,-63.628150939941406
47.54260867,7.58371693,304.73438,2004.0,-0.27195815753410524,-1.3,1.21,-13.22,-98.71358212,-11.140138626098633,-79.77130126953125
47.54260867,7.58371693,304.73438,2005.0,0.2386727660059501,0.6,1.52,-6.66,-42.77138547,-6.964496612548828,-48.57589340209961
47.54260867,7.58371693,304.73438,2005.0,0.6994583270516471,-5.2,-0.06,-15.78,-115.1328526,-11.491040229797363,-91.73649597167969
47.54260867,7.58371693,304.73438,2005.0,0.9510565162951535,0.5,-1.83,-8.02,-59.70485452,-7.785862922668457,-58.12886428833008
47.54260867,7.58371693,304.73438,2005.0,0.9760105506323683,-1.0,-0.3,-8.51,-58.19910378,-8.243805885314941,-58.004905700683594
47.54260867,7.58371693,304.73438,2005.0,0.741222010848596,-1.3,-1.25,-6.95,-48.05079866,-6.06220817565918,-41.51163864135742
47.54260867,7.58371693,304.73438,2005.0,0.29671281927349075,0.7,-0.05,-5.24,-32.64544918,-6.151007652282715,-41.19253158569336
47.54260867,7.58371693,304.73438,2005.0,-0.2135209154397959,0.3,-0.51,-5.67,-37.45673818,-5.449357986450195,-36.349945068359375
47.54260867,7.58371693,304.73438,2005.0,-0.680773409477016,-0.6,0.37,-6.33,-43.03745941,-5.732748985290527,-38.45993423461914
47.54260867,7.58371693,304.73438,2005.0,-0.9587178169872964,0.6,0.63,-9.610421834,-68.63931346,-6.48306941986084,-43.361061096191406
47.54260867,7.58371693,304.73438,2005.0,-0.9741004551724206,2.0,-0.98,-6.38,-42.73606861,-9.689776420593262,-69.36029052734375
47.54260867,7.58371693,304.73438,2005.0,-0.7236440382959123,-0.3,-0.31,-14.2,-103.3116898,-10.536996841430664,-76.14456176757812
47.54260867,7.58371693,304.73438,2005.0,-0.2884824328806098,-0.0,-0.44,-10.79,-78.0619552,-9.274911880493164,-63.04658126831055
47.54260867,7.58371693,304.73438,2006.0,0.2386727660059501,2.7,1.27,-10.39,-75.03694923,-10.437018394470215,-76.21109008789062
47.54260867,7.58371693,304.73438,2006.0,0.6994583270516471,0.2,-0.51,-11.52,-90.29273588,-10.17851734161377,-71.20407104492188
47.54260867,7.58371693,304.73438,2006.0,0.9510565162951535,2.9,-1.28,-11.23849183,-82.68571664,-9.45950984954834,-72.65176391601562
47.54260867,7.58371693,304.73438,2006.0,0.9760105506323683,1.8,1.24,-10.61,-76.08191291,-7.5069379806518555,-52.178749084472656
