Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,469.0,2015.0,-0.9741004551724206,-20.7,-158.7,-16.228012084960938,-123.76315307617188
52.3,104.2833333,469.0,2015.0,-0.7236440382959123,-21.3,-169.8,-17.37194061279297,-133.13778686523438
52.3,104.2833333,469.0,2015.0,-0.2884824328806098,-25.5,-201.8,-17.853973388671875,-137.08810424804688
52.3,104.2833333,469.0,2016.0,0.2386727660059501,-33.8,-269.6,-19.005096435546875,-146.52169799804688
52.3,104.2833333,469.0,2016.0,0.6994583270516471,-26.1,-209.1,-20.343276977539062,-157.48825073242188
52.3,104.2833333,469.0,2016.0,0.9562348265919056,-26.0,-202.9,-21.10589599609375,-163.73800659179688
52.3,104.2833333,469.0,2016.0,0.9721181966290613,-12.5,-102.1,-21.149063110351562,-164.09176635742188
52.3,104.2833333,469.0,2016.0,0.7295575540864875,-16.4,-124.2,-20.444000244140625,-158.31369018554688
52.3,104.2833333,469.0,2016.0,0.2802306751992159,-12.4,-103.6,-19.105819702148438,-147.34713745117188
52.3,104.2833333,469.0,2016.0,-0.23030567023061196,-10.9,-82.7,-17.925918579101562,-137.67770385742188
52.3,104.2833333,469.0,2016.0,-0.6932812268869771,-12.1,-89.8,-17.41510772705078,-133.49154663085938
52.3,104.2833333,469.0,2016.0,-0.9634705485641486,-14.6,-109.1,-16.32154083251953,-124.52963256835938
52.3,104.2833333,469.0,2016.0,-0.970063921851507,-27.5,-202.8,-16.27117919921875,-124.11691284179688
52.3,104.2833333,469.0,2016.0,-0.7116566222817751,-27.8,-210.5,-17.393524169921875,-133.31466674804688
52.3,104.2833333,469.0,2016.0,-0.27195815753410524,-26.4,-201.1,-17.88275146484375,-137.32394409179688
52.3,104.2833333,469.0,2012.0,-0.27195815753410524,-35.1,-262.7,-17.868362426757812,-137.20602416992188
52.3,104.2833333,469.0,2017.0,0.9510565162951535,-17.6,-126.8,-21.091506958007812,-163.62008666992188
52.3,104.2833333,469.0,2017.0,0.9760105506323683,-20.9,-152.0,-21.1634521484375,-164.20968627929688
52.3,104.2833333,469.0,2017.0,0.2386727660059501,-30.3,-230.6,-18.990707397460938,-146.40377807617188
52.3,104.2833333,469.0,2017.0,0.6994583270516471,-25.9,-194.9,-20.343276977539062,-157.48825073242188
47.54260867,7.58371693,316.0,2004.0,0.2386727660059501,-11.9,-88.50962751,-8.598224639892578,-61.236114501953125
47.54260867,7.58371693,316.0,2004.0,0.6994583270516471,-9.88,-66.74413536,-8.720531463623047,-62.238433837890625
47.54260867,7.58371693,316.0,2004.0,0.9562348265919056,-9.69,-71.5587575,-8.810462951660156,-62.975433349609375
47.54260867,7.58371693,316.0,2004.0,0.9721181966290613,-6.1,-40.66799847,-8.817657470703125,-63.034393310546875
47.54260867,7.58371693,316.0,2004.0,0.7295575540864875,-7.01,-50.25006643,-8.727725982666016,-62.297393798828125
47.54260867,7.58371693,316.0,2004.0,0.2802306751992159,-7.21,-53.83051048,-8.605419158935547,-61.295074462890625
47.54260867,7.58371693,316.0,2004.0,-0.23030567023061196,-5.49,-34.72560691,-8.598224639892578,-61.236114501953125
47.54260867,7.58371693,316.0,2004.0,-0.6932812268869771,-4.8,-31.50057387,-7.887054920196533,-56.05499267578125
47.54260867,7.58371693,316.0,2004.0,-0.9634705485641486,-4.92,-31.38678091,-7.814477920532227,-55.22977066040039
47.54260867,7.58371693,316.0,2004.0,-0.970063921851507,-10.75,-76.42100974,-7.848291873931885,-55.43818664550781
47.54260867,7.58371693,316.0,2004.0,-0.7116566222817751,-10.49,-75.39648751,-7.86120080947876,-55.86341857910156
47.54260867,7.58371693,316.0,2004.0,-0.27195815753410524,-13.22,-98.71358212,-8.655780792236328,-61.707794189453125
47.54260867,7.58371693,316.0,2005.0,0.2386727660059501,-6.66,-42.77138547,-8.598224639892578,-61.236114501953125
47.54260867,7.58371693,316.0,2005.0,0.6994583270516471,-15.78,-115.1328526,-8.716934204101562,-62.208953857421875
47.54260867,7.58371693,316.0,2005.0,0.9510565162951535,-8.02,-59.70485452,-8.810462951660156,-62.975433349609375
47.54260867,7.58371693,316.0,2005.0,0.9760105506323683,-8.51,-58.19910378,-8.82125473022461,-63.063873291015625
47.54260867,7.58371693,316.0,2005.0,0.741222010848596,-6.95,-48.05079866,-8.734920501708984,-62.356353759765625
47.54260867,7.58371693,316.0,2005.0,0.29671281927349075,-5.24,-32.64544918,-8.612613677978516,-61.354034423828125
47.54260867,7.58371693,316.0,2005.0,-0.2135209154397959,-5.67,-37.45673818,-8.580238342285156,-61.088714599609375
47.54260867,7.58371693,316.0,2005.0,-0.680773409477016,-6.33,-43.03745941,-7.910959720611572,-56.21705627441406
47.54260867,7.58371693,316.0,2005.0,-0.9587178169872964,-9.610421834,-68.63931346,-7.790441989898682,-55.06697082519531
47.54260867,7.58371693,316.0,2005.0,-0.9741004551724206,-6.38,-42.73606861,-7.873206615447998,-55.57807159423828
47.54260867,7.58371693,316.0,2005.0,-0.7236440382959123,-14.2,-103.3116898,-7.846755027770996,-55.735897064208984
47.54260867,7.58371693,316.0,2005.0,-0.2884824328806098,-10.79,-78.0619552,-8.677364349365234,-61.884674072265625
47.54260867,7.58371693,316.0,2006.0,0.2386727660059501,-10.39,-75.03694923,-8.594627380371094,-61.206634521484375
47.54260867,7.58371693,316.0,2006.0,0.6994583270516471,-11.52,-90.29273588,-8.716934204101562,-62.208953857421875
47.54260867,7.58371693,316.0,2006.0,0.9510565162951535,-11.23849183,-82.68571664,-8.810462951660156,-62.975433349609375
47.54260867,7.58371693,316.0,2006.0,0.9760105506323683,-10.61,-76.08191291,-8.82125473022461,-63.063873291015625
47.54260867,7.58371693,316.0,2006.0,0.741222010848596,-8.47,-60.27743553,-8.734920501708984,-62.356353759765625
47.54260867,7.58371693,316.0,2006.0,0.29671281927349075,-4.08,-26.00399436,-8.612613677978516,-61.354034423828125
47.54260867,7.58371693,316.0,2006.0,-0.2135209154397959,-3.64,-26.43863597,-8.580238342285156,-61.088714599609375
47.54260867,7.58371693,316.0,2006.0,-0.680773409477016,-8.43,-60.3623681,-7.91457462310791,-56.22806930541992
47.54260867,7.58371693,316.0,2006.0,-0.9587178169872964,-7.78,-53.80678357,-7.794188022613525,-55.07872009277344
47.54260867,7.58371693,316.0,2006.0,-0.9741004551724206,-6.51,-49.6066388,-7.8762969970703125,-55.58613967895508
47.54260867,7.58371693,316.0,2006.0,-0.7236440382959123,-9.18,-67.40884533,-7.851550102233887,-55.753536224365234
47.54260867,7.58371693,316.0,2006.0,-0.2884824328806098,-11.11,-83.72738599,-8.680961608886719,-61.914154052734375
47.54260867,7.58371693,316.0,2007.0,0.2386727660059501,-12.87,-93.4449454,-8.594627380371094,-61.206634521484375
47.54260867,7.58371693,316.0,2007.0,0.6994583270516471,-9.46,-71.36453487,-8.720531463623047,-62.238433837890625
47.54260867,7.58371693,316.0,2007.0,0.9510565162951535,-12.11,-89.32212676,-8.810462951660156,-62.975433349609375
47.54260867,7.58371693,316.0,2007.0,0.741222010848596,-7.87,-56.86635214,-8.7313232421875,-62.326873779296875
47.54260867,7.58371693,316.0,2007.0,0.29671281927349075,-6.28,-44.71481808,-8.612613677978516,-61.354034423828125
47.54260867,7.58371693,316.0,2007.0,-0.2135209154397959,-6.05,-43.8169477,-8.58383560180664,-61.118194580078125
47.54260867,7.58371693,316.0,2007.0,-0.680773409477016,-6.87,-44.13363048,-7.921131134033203,-56.2648811340332
47.54260867,7.58371693,316.0,2007.0,-0.9587178169872964,-6.87,-44.13363048,-7.79727840423584,-55.086788177490234
47.54260867,7.58371693,316.0,2007.0,-0.9741004551724206,-8.99,-60.35032291,-7.8808207511901855,-55.61153793334961
47.54260867,7.58371693,316.0,2007.0,-0.7236440382959123,-10.78,-79.00926983,-7.856664180755615,-55.782249450683594
47.54260867,7.58371693,316.0,2007.0,-0.2884824328806098,-8.37,-57.9994607,-8.680961608886719,-61.914154052734375
47.54260867,7.58371693,316.0,2008.0,0.2386727660059501,-10.4,-82.10126519,-8.598224639892578,-61.236114501953125
47.54260867,7.58371693,316.0,2008.0,0.6994583270516471,-8.5,-62.00643014,-8.720531463623047,-62.238433837890625
47.54260867,7.58371693,316.0,2008.0,0.9562348265919056,-7.88,-58.24612426,-8.810462951660156,-62.975433349609375
47.54260867,7.58371693,316.0,2008.0,0.9721181966290613,-10.73,-81.57874164,-8.817657470703125,-63.034393310546875
47.54260867,7.58371693,316.0,2008.0,0.7295575540864875,-6.26,-47.19478668,-8.724128723144531,-62.267913818359375
47.54260867,7.58371693,316.0,2008.0,0.2802306751992159,-6.51,-47.19496585,-8.609016418457031,-61.324554443359375
47.54260867,7.58371693,316.0,2008.0,-0.23030567023061196,-4.36,-26.28930766,-8.609016418457031,-61.324554443359375
47.54260867,7.58371693,316.0,2008.0,-0.6932812268869771,-4.6,-29.45637813,-7.903931617736816,-56.12189865112305
